method,query_id,k,old_precision,old_recall,old_ndcg,new_precision_relaxed,new_recall_relaxed,new_precision_strict,new_recall_strict,new_ndcg
colbert,5,5,,,,1.0,0.06097560975609756,1.0,0.0625,1.0
colbert,5,10,1.0,0.01,1.0,1.0,0.12195121951219512,1.0,0.125,1.0
colbert,5,20,,,,1.0,0.24390243902439024,1.0,0.25,1.0
colbert,5,50,1.0,0.05,1.0,0.6,0.36585365853658536,0.6,0.375,0.6967337648274147
learned_fusion,1,5,,,,1.0,0.05555555555555555,1.0,0.07142857142857142,1.0
learned_fusion,1,10,0.8,0.008,0.8482378089219645,1.0,0.1111111111111111,1.0,0.14285714285714285,1.0
learned_fusion,1,20,,,,1.0,0.2222222222222222,1.0,0.2857142857142857,1.0
learned_fusion,1,50,0.56,0.028,0.6097360838817769,0.5,0.2777777777777778,0.46,0.32857142857142857,0.6052865709321371
learned_fusion,2,5,,,,1.0,0.058823529411764705,1.0,0.0847457627118644,1.0
learned_fusion,2,10,0.8,0.008,0.8643145546088337,1.0,0.11764705882352941,1.0,0.1694915254237288,1.0
learned_fusion,2,20,,,,0.95,0.2235294117647059,0.9,0.3050847457627119,0.9439464476603959
learned_fusion,2,50,0.9,0.045,0.9012556417076762,0.56,0.32941176470588235,0.48,0.4067796610169492,0.6303743241784523
learned_fusion,3,5,,,,1.0,0.078125,0.2,0.14285714285714285,0.5730341749213532
learned_fusion,3,10,1.0,0.01,1.0,1.0,0.15625,0.2,0.2857142857142857,0.6487234577359062
learned_fusion,3,20,,,,0.95,0.296875,0.15,0.42857142857142855,0.7335666423990562
learned_fusion,3,50,1.0,0.05,1.0,0.48,0.375,0.1,0.7142857142857143,0.5584246319219799
learned_fusion,4,5,,,,1.0,0.05555555555555555,1.0,0.06578947368421052,1.0
learned_fusion,4,10,1.0,0.01,1.0,1.0,0.1111111111111111,1.0,0.13157894736842105,1.0
learned_fusion,4,20,,,,1.0,0.2222222222222222,1.0,0.2631578947368421,1.0
learned_fusion,4,50,0.92,0.046,0.9348892213693962,0.52,0.28888888888888886,0.5,0.32894736842105265,0.6319353541260656
learned_fusion,5,5,,,,1.0,0.06097560975609756,1.0,0.0625,1.0
learned_fusion,5,10,1.0,0.01,1.0,0.9,0.10975609756097561,0.9,0.1125,0.9305687780632227
learned_fusion,5,20,,,,0.95,0.23170731707317074,0.95,0.2375,0.9551913563983283
learned_fusion,5,50,1.0,0.05,1.0,0.44,0.2682926829268293,0.44,0.275,0.5657299066247827
