method,query,k,ndcg,precision,recall,f1,overlap
Istari BM25,mobile app development companies,50,0.029,0.04,0.002,0.0038,0
Istari BM25,mobile app development companies,100,0.0256,0.03,0.003,0.0055,0
Istari BM25,mobile app development companies,500,0.0789,0.086,0.043,0.0573,21
Istari BM25,mobile app development companies,1000,0.0822,0.086,0.086,0.086,43
Istari BM25,web design agencies,10,0.0,0.0,0.0,0.0,0
Istari BM25,web design agencies,50,0.0322,0.04,0.002,0.0038,0
Istari BM25,web design agencies,100,0.0199,0.02,0.002,0.0036,0
Istari BM25,web design agencies,500,0.0079,0.006,0.003,0.004,0
Istari BM25,web design agencies,1000,0.0072,0.006,0.006,0.006,3
Istari BM25,SEO companies,10,0.0,0.0,0.0,0.0,0
Istari BM25,SEO companies,50,0.0421,0.06,0.003,0.0057,0
Istari BM25,SEO companies,100,0.041,0.05,0.005,0.0091,0
Istari BM25,SEO companies,500,0.05,0.054,0.027,0.036,17
Istari BM25,SEO companies,1000,0.0518,0.054,0.054,0.054,27
Istari BM25,social media marketing agencies,10,0.1034,0.1,0.001,0.002,0
Istari BM25,social media marketing agencies,50,0.0838,0.08,0.004,0.0076,1
Istari BM25,social media marketing agencies,100,0.0592,0.05,0.005,0.0091,1
Istari BM25,social media marketing agencies,500,0.0281,0.022,0.011,0.0147,7
Istari BM25,social media marketing agencies,1000,0.0258,0.022,0.022,0.022,11
Istari BM25,venture capital firms,10,0.0698,0.1,0.001,0.002,0
Istari BM25,venture capital firms,50,0.0576,0.06,0.003,0.0057,0
Istari BM25,venture capital firms,100,0.0657,0.07,0.007,0.0127,0
Istari BM25,venture capital firms,500,0.0638,0.066,0.033,0.044,16
Istari BM25,venture capital firms,1000,0.0649,0.066,0.066,0.066,33
Istari BM25,private equity firms,10,0.0,0.0,0.0,0.0,0
Istari BM25,private equity firms,50,0.0312,0.04,0.002,0.0038,0
Istari BM25,private equity firms,100,0.0267,0.03,0.003,0.0055,0
Istari BM25,private equity firms,500,0.0562,0.062,0.031,0.0413,20
Istari BM25,private equity firms,1000,0.0588,0.062,0.062,0.062,31
Istari BM25,investment banks,10,0.0,0.0,0.0,0.0,0
Istari BM25,investment banks,50,0.0,0.0,0.0,0.0,0
Istari BM25,investment banks,100,0.0074,0.01,0.0026,0.0041,0
Istari BM25,investment banks,500,0.0129,0.004,0.0052,0.0045,3
Istari BM25,investment banks,1000,0.0134,0.004,0.0105,0.0058,7
Istari BM25,insurance companies,10,0.0,0.0,0.0,0.0,0
Istari BM25,insurance companies,50,0.0,0.0,0.0,0.0,0
Istari BM25,insurance companies,100,0.0072,0.01,0.001,0.0018,0
Istari BM25,insurance companies,500,0.0059,0.006,0.003,0.004,2
Istari BM25,insurance companies,1000,0.006,0.006,0.006,0.006,3
Istari BM25,real estate developers,10,0.0,0.0,0.0,0.0,0
Istari BM25,real estate developers,50,0.0,0.0,0.0,0.0,0
Istari BM25,real estate developers,100,0.0,0.0,0.0,0.0,0
Istari BM25,real estate developers,500,0.005,0.006,0.003,0.004,2
Istari BM25,real estate developers,1000,0.0054,0.006,0.006,0.006,3
Istari BM25,property management companies,10,0.0,0.0,0.0,0.0,0
Istari BM25,property management companies,50,0.0,0.0,0.0,0.0,0
Istari BM25,property management companies,100,0.0,0.0,0.0,0.0,0
Istari BM25,property management companies,500,0.0087,0.01,0.005,0.0067,2
Istari BM25,property management companies,1000,0.0092,0.01,0.01,0.01,5
Istari BM25,hospital management companies,10,0.1454,0.0,0.0,0.0,0
Istari BM25,hospital management companies,50,0.0858,0.02,0.0435,0.0274,2
Istari BM25,hospital management companies,100,0.0607,0.01,0.0435,0.0163,2
Istari BM25,hospital management companies,500,0.0366,0.004,0.087,0.0076,12
Istari BM25,hospital management companies,1000,0.0345,0.004,0.1739,0.0078,15
