tier,query_id,n_companies,index_build_s,query_latency_ms,method
200k,14,200000,,157.8087559901178,minilm
200k,27,200000,,152.78618200682104,minilm
200k,66,200000,,152.4082471150905,minilm
200k,72,200000,,152.20327815040946,minilm
200k,99,200000,,152.7915270999074,minilm
200k,101,200000,,156.9223110564053,minilm
200k,56,200000,,152.90591004304588,minilm
200k,82,200000,,153.39257009327412,minilm
200k,91,200000,,152.40757609717548,minilm
200k,92,200000,,153.08871679008007,minilm
300k,1,300000,,228.96765591576695,minilm
300k,2,300000,,229.798368178308,minilm
300k,3,300000,,231.75505083054304,minilm
300k,4,300000,,230.49569805152714,minilm
300k,5,300000,,229.10362691618502,minilm
300k,11,300000,,230.49925500527024,minilm
300k,12,300000,,229.1370970197022,minilm
300k,15,300000,,233.56306389905512,minilm
300k,34,300000,,229.16294098831713,minilm
300k,14,300000,,228.87207102030516,minilm
300k,27,300000,,230.13796494342387,minilm
300k,66,300000,,230.2956699859351,minilm
300k,72,300000,,230.36439414136112,minilm
300k,99,300000,,234.58474106155336,minilm
300k,101,300000,,233.174110064283,minilm
300k,56,300000,,229.56374380737543,minilm
300k,82,300000,,230.43591901659966,minilm
300k,91,300000,,229.92620896548033,minilm
300k,92,300000,,230.46251805499196,minilm
400k,1,397025,,308.60561202280223,minilm
400k,2,397025,,304.22592186369,minilm
400k,3,397025,,305.34602398984134,minilm
400k,4,397025,,308.16853884607553,minilm
400k,5,397025,,304.401254048571,minilm
400k,11,397025,,308.6184640415013,minilm
400k,12,397025,,304.59045991301537,minilm
400k,15,397025,,304.9013551790267,minilm
400k,34,397025,,306.0881781857461,minilm
400k,14,397025,,303.63066913560033,minilm
400k,27,397025,,304.7463658731431,minilm
400k,66,397025,,304.95840893127024,minilm
400k,72,397025,,305.2513240836561,minilm
400k,99,397025,,305.6167259346694,minilm
400k,101,397025,,304.3478538747877,minilm
400k,56,397025,,304.6784568578005,minilm
400k,82,397025,,305.9240528382361,minilm
400k,91,397025,,302.9227389488369,minilm
400k,92,397025,,304.373730905354,minilm
100k,1,100000,,40.115064941346645,gte
100k,2,100000,,27.823415119200945,gte
100k,3,100000,,27.766871033236384,gte
100k,4,100000,,27.657135156914592,gte
100k,5,100000,,27.593715116381645,gte
100k,11,100000,,27.604860020801425,gte
100k,12,100000,,27.582034934312105,gte
100k,15,100000,,27.51801209524274,gte
100k,34,100000,,27.726036962121725,gte
100k,14,100000,,27.728208107873797,gte
100k,27,100000,,27.72444812580943,gte
100k,66,100000,,27.701219078153372,gte
100k,72,100000,,27.674024924635887,gte
100k,99,100000,,27.64235599897802,gte
100k,101,100000,,27.653503930196166,gte
100k,56,100000,,27.7422028593719,gte
100k,82,100000,,27.69288420677185,gte
100k,91,100000,,27.67174318432808,gte
100k,92,100000,,27.706363005563617,gte
200k,1,200000,,57.17699113301933,gte
200k,2,200000,,56.73610302619636,gte
200k,3,200000,,56.91084288991988,gte
200k,4,200000,,57.052076095715165,gte
200k,5,200000,,56.93944497033954,gte
