method,query_id,query,k,precision,recall,ndcg
Ministral,56,defense contractors,1000,0.087,0.87,0.6093259961328776
Ministral,57,transportation companies,10,0.1,0.01,0.08514311764162098
Ministral,57,transportation companies,50,0.14,0.07,0.12843983356631897
Ministral,57,transportation companies,100,0.11,0.11,0.10939908366046674
Ministral,57,transportation companies,1000,0.059,0.59,0.36942168248547474
Ministral,58,shipping companies,10,0.1,0.01,0.06943122193677727
Ministral,58,shipping companies,50,0.1,0.05,0.09059255012990362
Ministral,58,shipping companies,100,0.1,0.1,0.09266159909975262
Ministral,58,shipping companies,1000,0.06,0.6,0.3806752059502991
Ministral,59,trucking companies,10,0.1,0.01,0.06625422345438903
Ministral,59,trucking companies,50,0.14,0.07,0.12093781199131463
Ministral,59,trucking companies,100,0.14,0.14,0.12711646593053672
Ministral,59,trucking companies,1000,0.083,0.83,0.5061628510164314
Ministral,60,freight forwarding companies,10,0.0,0.0,0.0
Ministral,60,freight forwarding companies,50,0.1,0.05,0.07990801758181663
Ministral,60,freight forwarding companies,100,0.08,0.08,0.07200153823245695
Ministral,60,freight forwarding companies,1000,0.077,0.77,0.45132109185293445
Ministral,61,warehousing companies,10,0.2,0.02,0.1884441521277154
Ministral,61,warehousing companies,50,0.22,0.11,0.2084700177174894
Ministral,61,warehousing companies,100,0.18,0.18,0.1814997139060963
Ministral,61,warehousing companies,1000,0.083,0.83,0.5508262625737408
Ministral,62,cold storage companies,10,0.1,0.01,0.07336392209936005
Ministral,62,cold storage companies,50,0.2,0.1,0.17219938214295388
Ministral,62,cold storage companies,100,0.14,0.14,0.13739836978293615
Ministral,62,cold storage companies,1000,0.093,0.93,0.5819440766676562
Ministral,63,retail technology companies,10,0.3,0.03,0.2032389337527008
Ministral,63,retail technology companies,50,0.16,0.08,0.1595254897041359
Ministral,63,retail technology companies,100,0.13,0.13,0.13729770613605924
Ministral,63,retail technology companies,1000,0.084,0.84,0.5320813035751694
Ministral,64,point of sale systems providers,10,0.0,0.0,0.0
Ministral,64,point of sale systems providers,50,0.08,0.04,0.0679800728728541
Ministral,64,point of sale systems providers,100,0.12,0.12,0.10498843409716035
Ministral,64,point of sale systems providers,1000,0.095,0.95,0.5751206212740799
Ministral,65,inventory management software,10,0.6,0.06,0.615406227586239
Ministral,65,inventory management software,50,0.44,0.22,0.4781858769343926
Ministral,65,inventory management software,100,0.38,0.38,0.4192777483543201
Ministral,65,inventory management software,1000,0.093,0.93,0.7525489688458091
Ministral,66,customer relationship management (CRM) software,10,0.1,0.01,0.06362078819895171
Ministral,66,customer relationship management (CRM) software,50,0.3,0.15,0.25248410657384557
Ministral,66,customer relationship management (CRM) software,100,0.24,0.24,0.22437140110239215
Ministral,66,customer relationship management (CRM) software,1000,0.098,0.98,0.6520261730188898
Ministral,67,enterprise resource planning (ERP) systems,10,0.2,0.02,0.2984900352767555
Ministral,67,enterprise resource planning (ERP) systems,50,0.18,0.09,0.21658616034222353
Ministral,67,enterprise resource planning (ERP) systems,100,0.11,0.11,0.14880339858745534
Ministral,67,enterprise resource planning (ERP) systems,1000,0.065,0.65,0.45920278149237476
Ministral,68,business intelligence (BI) companies,10,0.1,0.01,0.13886244387355454
Ministral,68,business intelligence (BI) companies,50,0.24,0.12,0.2283903783158177
Ministral,68,business intelligence (BI) companies,100,0.19,0.19,0.19634304630489877
Ministral,68,business intelligence (BI) companies,1000,0.09,0.9,0.6134042677969087
Ministral,69,IT consulting firms,10,0.0,0.0,0.0
Ministral,69,IT consulting firms,50,0.04,0.02,0.033055207834460434
