method,query_id,query,k,precision,recall,ndcg
Llama,29,cloud computing providers,10,0.5,0.05,0.6020521034564038
Llama,29,cloud computing providers,50,0.26,0.13,0.3334576602010741
Llama,29,cloud computing providers,100,0.19,0.19,0.25151109664584287
Llama,29,cloud computing providers,1000,0.084,0.84,0.6256098845857635
Llama,30,mobile app development companies,10,0.0,0.0,0.0
Llama,30,mobile app development companies,50,0.16,0.08,0.13579776306277408
Llama,30,mobile app development companies,100,0.18,0.18,0.1590499504203634
Llama,30,mobile app development companies,1000,0.075,0.75,0.48655499296661453
Llama,31,web design agencies,10,0.1,0.01,0.06625422345438903
Llama,31,web design agencies,50,0.06,0.03,0.05843625022168353
Llama,31,web design agencies,100,0.1,0.1,0.09081840931128152
Llama,31,web design agencies,1000,0.081,0.81,0.4658230548237612
Llama,32,SEO companies,10,0.5,0.05,0.5766882048947064
Llama,32,SEO companies,50,0.12,0.06,0.21703576705853786
Llama,32,SEO companies,100,0.09,0.09,0.15718111912497942
Llama,32,SEO companies,1000,0.09,0.9,0.6195106250667096
Llama,33,social media marketing agencies,10,0.0,0.0,0.0
Llama,33,social media marketing agencies,50,0.0,0.0,0.0
Llama,33,social media marketing agencies,100,0.0,0.0,0.0
Llama,33,social media marketing agencies,1000,0.0,0.0,0.0
Llama,34,venture capital firms,10,0.3,0.03,0.25284102718517737
Llama,34,venture capital firms,50,0.16,0.08,0.17146447541838
Llama,34,venture capital firms,100,0.16,0.16,0.16737891543970168
Llama,34,venture capital firms,1000,0.079,0.79,0.515145677488299
Llama,35,private equity firms,10,0.1,0.01,0.13886244387355454
Llama,35,private equity firms,50,0.16,0.08,0.1639440525183123
Llama,35,private equity firms,100,0.16,0.16,0.16257684982977488
Llama,35,private equity firms,1000,0.084,0.84,0.5356656947032765
Llama,36,investment banks,10,0.3,0.03,0.2934367834519528
Llama,36,investment banks,50,0.24,0.12,0.24541731897780422
Llama,36,investment banks,100,0.18,0.18,0.19857810738030118
Llama,36,investment banks,1000,0.082,0.82,0.5623883299045453
Llama,37,insurance companies,10,0.0,0.0,0.0
Llama,37,insurance companies,50,0.14,0.07,0.11157544906198538
Llama,37,insurance companies,100,0.2,0.2,0.16856992686585648
Llama,37,insurance companies,1000,0.095,0.95,0.5798287128374024
Llama,38,real estate developers,10,0.0,0.0,0.0
Llama,38,real estate developers,50,0.0,0.0,0.0
Llama,38,real estate developers,100,0.0,0.0,0.0
Llama,38,real estate developers,1000,0.0,0.0,0.0
Llama,39,property management companies,10,0.2,0.02,0.21726071285222986
Llama,39,property management companies,50,0.18,0.09,0.1904254274893122
Llama,39,property management companies,100,0.13,0.13,0.14737314709414245
Llama,39,property management companies,1000,0.093,0.93,0.5946538573901442
Llama,40,hospital management companies,10,0.4,0.04,0.5067837010870873
Llama,40,hospital management companies,50,0.34,0.17,0.3798326971685402
Llama,40,hospital management companies,100,0.29,0.29,0.32666278359997886
Llama,40,hospital management companies,1000,0.081,0.81,0.6342963102122241
Llama,41,medical device manufacturers,10,0.4,0.04,0.40741536676357565
Llama,41,medical device manufacturers,50,0.26,0.13,0.27641680266773777
Llama,41,medical device manufacturers,100,0.22,0.22,0.2388672309759342
Llama,41,medical device manufacturers,1000,0.092,0.92,0.6467882212434688
Llama,42,telecommunications companies,10,0.0,0.0,0.0
Llama,42,telecommunications companies,50,0.04,0.02,0.02807619257562998
Llama,42,telecommunications companies,100,0.06,0.06,0.04746837609114841
Llama,42,telecommunications companies,1000,0.069,0.69,0.38904718643791275
