method,query,k,ndcg,precision,recall,f1,overlap
API Native,robotics companies,30,0.9875,0.8667,0.1769,0.2938,15
API Native,robotics companies,44,0.9869,0.7727,0.2313,0.356,20
API Native,3D printing companies,10,0.9881,1.0,0.01,0.0198,2
API Native,3D printing companies,30,0.9867,1.0,0.03,0.0583,7
API Native,3D printing companies,44,0.9871,1.0,0.044,0.0843,15
API Native,packaging companies,10,0.9968,1.0,0.01,0.0198,3
API Native,packaging companies,30,0.922,0.9,0.027,0.0524,11
API Native,packaging companies,44,0.9215,0.9091,0.04,0.0766,12
API Native,food processing companies,10,0.9928,1.0,0.01,0.0198,2
API Native,food processing companies,30,0.994,1.0,0.03,0.0583,21
API Native,food processing companies,44,0.9946,1.0,0.044,0.0843,31
API Native,beverage companies,10,0.9935,1.0,0.0339,0.0656,4
API Native,beverage companies,30,0.9925,1.0,0.1017,0.1846,19
API Native,beverage companies,44,0.9583,0.8409,0.1254,0.2183,27
API Native,mining companies,10,0.9841,0.9,0.1154,0.2045,2
API Native,mining companies,30,0.9832,0.6667,0.2564,0.3704,8
API Native,mining companies,44,0.9686,0.5227,0.2949,0.377,13
API Native,oil and gas companies,10,0.9901,1.0,0.015,0.0295,4
API Native,oil and gas companies,30,0.9895,1.0,0.0449,0.086,11
API Native,oil and gas companies,44,0.9895,1.0,0.0659,0.1236,15
API Native,energy storage companies,10,0.9911,1.0,0.0186,0.0365,6
API Native,energy storage companies,30,0.9898,1.0,0.0558,0.1056,14
API Native,energy storage companies,44,0.9914,1.0,0.0818,0.1512,26
API Native,waste management companies,10,0.9905,1.0,0.01,0.0198,3
API Native,waste management companies,30,0.9658,0.9667,0.029,0.0563,10
API Native,waste management companies,44,0.9547,0.9545,0.042,0.0805,16
API Native,water treatment companies,10,0.9872,1.0,0.01,0.0198,1
API Native,water treatment companies,30,0.9869,1.0,0.03,0.0583,7
API Native,water treatment companies,44,0.9726,0.9773,0.043,0.0824,10
API Native,aerospace companies,10,0.9973,1.0,0.0429,0.0823,8
API Native,aerospace companies,30,0.9955,1.0,0.1288,0.2281,20
API Native,aerospace companies,44,0.9934,0.9773,0.1845,0.3105,25
API Native,defense contractors,10,0.9974,1.0,0.3125,0.4762,8
API Native,defense contractors,30,0.9961,0.8333,0.7812,0.8065,25
API Native,defense contractors,44,0.997,0.7045,0.9688,0.8158,36
API Native,transportation companies,10,0.9867,1.0,0.0121,0.024,3
API Native,transportation companies,30,0.8954,0.8333,0.0303,0.0585,7
API Native,transportation companies,44,0.8835,0.7955,0.0424,0.0806,10
API Native,shipping companies,10,0.9915,1.0,0.01,0.0198,4
API Native,shipping companies,30,0.9686,0.9667,0.029,0.0563,11
API Native,shipping companies,44,0.9745,0.9773,0.043,0.0824,19
API Native,trucking companies,10,0.9872,1.0,0.01,0.0198,2
API Native,trucking companies,30,0.991,1.0,0.03,0.0583,13
API Native,trucking companies,44,0.9907,1.0,0.044,0.0843,20
API Native,freight forwarding companies,10,0.9979,1.0,0.01,0.0198,5
API Native,freight forwarding companies,30,0.997,1.0,0.03,0.0583,19
API Native,freight forwarding companies,44,0.9969,1.0,0.044,0.0843,24
API Native,warehousing companies,10,0.9943,1.0,0.0169,0.0333,5
API Native,warehousing companies,30,0.9893,1.0,0.0508,0.0968,12
API Native,warehousing companies,44,0.9904,1.0,0.0746,0.1388,21
API Native,cold storage companies,10,0.9942,1.0,0.01,0.0198,4
API Native,cold storage companies,30,0.9943,1.0,0.03,0.0583,17
API Native,cold storage companies,44,0.9944,1.0,0.044,0.0843,24
API Native,retail technology companies,10,0.9903,1.0,0.0206,0.0404,6
API Native,retail technology companies,30,0.9914,1.0,0.0619,0.1165,20
API Native,retail technology companies,44,0.9925,1.0,0.0907,0.1664,27
API Native,point of sale systems providers,10,0.9905,1.0,0.01,0.0198,2
API Native,point of sale systems providers,30,0.9927,1.0,0.03,0.0583,15
API Native,point of sale systems providers,44,0.9928,1.0,0.044,0.0843,22
API Native,inventory management software,10,0.9951,1.0,0.01,0.0198,6
API Native,inventory management software,30,0.9935,1.0,0.03,0.0583,16
API Native,inventory management software,44,0.9931,1.0,0.044,0.0843,25
API Native,customer relationship management (CRM) software,10,0.9975,1.0,0.0119,0.0234,6
API Native,customer relationship management (CRM) software,30,0.9976,1.0,0.0356,0.0687,19
API Native,customer relationship management (CRM) software,44,0.9969,1.0,0.0522,0.0992,33
API Native,enterprise resource planning (ERP) systems,10,0.9977,1.0,0.01,0.0198,7
API Native,enterprise resource planning (ERP) systems,30,0.9964,1.0,0.03,0.0583,19
API Native,enterprise resource planning (ERP) systems,44,0.9959,1.0,0.044,0.0843,29
API Native,business intelligence (BI) companies,10,0.9931,1.0,0.0124,0.0246,4
API Native,business intelligence (BI) companies,30,0.9957,1.0,0.0373,0.0719,23
API Native,business intelligence (BI) companies,44,0.9952,1.0,0.0547,0.1038,29
API Native,IT consulting firms,10,0.9923,1.0,0.01,0.0198,4
API Native,IT consulting firms,30,0.994,1.0,0.03,0.0583,16
API Native,IT consulting firms,44,0.9935,1.0,0.044,0.0843,21
API Native,cybersecurity solutions providers,10,0.9971,1.0,0.01,0.0198,6
