config,query_id,k,precision,recall,f1,ndcg
Exact (FlatL2),39,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),39,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),39,100,1.0,0.1,0.18181818181818182,1.0
Exact (FlatL2),39,500,0.964,0.482,0.6426666666666666,0.969947648093386
Exact (FlatL2),39,1000,0.794,0.794,0.7940000000000002,0.8245207645511071
Exact (FlatL2),40,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),40,50,0.96,0.048,0.09142857142857141,0.9709523067664448
Exact (FlatL2),40,100,0.98,0.098,0.17818181818181816,0.9821072987305789
Exact (FlatL2),40,500,0.804,0.402,0.5360000000000001,0.8320541094593975
Exact (FlatL2),40,1000,0.611,0.611,0.611,0.6566411259089655
Exact (FlatL2),41,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),41,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),41,100,1.0,0.1,0.18181818181818182,1.0
Exact (FlatL2),41,500,1.0,0.5,0.6666666666666666,1.0
Exact (FlatL2),41,1000,0.913,0.913,0.9130000000000001,0.9277703051996947
Exact (FlatL2),42,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),42,50,0.98,0.049,0.09333333333333334,0.9843500333548646
Exact (FlatL2),42,100,0.97,0.097,0.1763636363636364,0.9739609580572379
Exact (FlatL2),42,500,0.846,0.423,0.564,0.8669656093202784
Exact (FlatL2),42,1000,0.752,0.752,0.752,0.7785894314705607
Exact (FlatL2),43,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),43,50,0.98,0.049,0.09333333333333334,0.9843500333548646
Exact (FlatL2),43,100,0.98,0.098,0.17818181818181816,0.9829086500402519
Exact (FlatL2),43,500,0.92,0.46,0.6133333333333333,0.9314366604406197
Exact (FlatL2),43,1000,0.758,0.758,0.7579999999999999,0.7901420067095839
Exact (FlatL2),44,10,0.9,0.009,0.01782178217821782,0.9305687780632227
Exact (FlatL2),44,50,0.94,0.047,0.08952380952380952,0.9460531043316254
Exact (FlatL2),44,100,0.95,0.095,0.17272727272727273,0.9517600941531931
Exact (FlatL2),44,500,0.898,0.449,0.5986666666666667,0.9066788886278644
Exact (FlatL2),44,1000,0.78,0.78,0.78,0.8031721102628601
Exact (FlatL2),45,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),45,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),45,100,1.0,0.1,0.18181818181818182,1.0
Exact (FlatL2),45,500,0.962,0.481,0.6413333333333333,0.9676189824936423
Exact (FlatL2),45,1000,0.877,0.877,0.8769999999999999,0.8939309800529625
Exact (FlatL2),46,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),46,50,0.98,0.049,0.09333333333333334,0.98206055137689
Exact (FlatL2),46,100,0.99,0.099,0.18,0.988949718224763
Exact (FlatL2),46,500,0.998,0.499,0.6653333333333333,0.9967206815724494
Exact (FlatL2),46,1000,0.974,0.974,0.974,0.9774669090798705
Exact (FlatL2),47,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),47,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),47,100,1.0,0.1,0.18181818181818182,1.0
Exact (FlatL2),47,500,0.998,0.499,0.6653333333333333,0.998206148921559
Exact (FlatL2),47,1000,0.962,0.962,0.962,0.9681859950747759
Exact (FlatL2),48,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),48,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),48,100,0.97,0.097,0.1763636363636364,0.9765697522349736
Exact (FlatL2),48,500,0.962,0.481,0.6413333333333333,0.9653331129386237
Exact (FlatL2),48,1000,0.845,0.845,0.845,0.8657795352902861
Exact (FlatL2),49,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),49,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),49,100,1.0,0.1,0.18181818181818182,1.0
Exact (FlatL2),49,500,1.0,0.5,0.6666666666666666,1.0
Exact (FlatL2),49,1000,0.961,0.961,0.961,0.9679269419145249
Exact (FlatL2),50,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),50,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),50,100,1.0,0.1,0.18181818181818182,1.0
Exact (FlatL2),50,500,0.994,0.497,0.6626666666666666,0.9951011342061699
Exact (FlatL2),50,1000,0.887,0.887,0.887,0.9053311050485269
Exact (FlatL2),51,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),51,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),51,100,1.0,0.1,0.18181818181818182,1.0
Exact (FlatL2),51,500,0.99,0.495,0.66,0.9917152418203385
Exact (FlatL2),51,1000,0.873,0.873,0.8729999999999999,0.8932921401806656
Exact (FlatL2),52,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),52,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),52,100,1.0,0.1,0.18181818181818182,1.0
Exact (FlatL2),52,500,0.928,0.464,0.6186666666666667,0.9391361217829606
Exact (FlatL2),52,1000,0.78,0.78,0.78,0.8088943464885454
Exact (FlatL2),53,10,1.0,0.01,0.019801980198019802,1.0
Exact (FlatL2),53,50,1.0,0.05,0.09523809523809523,1.0
Exact (FlatL2),53,100,1.0,0.1,0.18181818181818182,1.0
Exact (FlatL2),53,500,0.998,0.499,0.6653333333333333,0.9983154735907417
Exact (FlatL2),53,1000,0.978,0.978,0.978,0.9817387637752923
Exact (FlatL2),54,10,1.0,0.01,0.019801980198019802,1.0
