tier,M,ef_construction,ef_search,query_id,k,query_latency_ms,index_build_s,precision,recall,ndcg
100k,16,40,10,5,1000,0.1678809931036085,16.684499502182007,0.029,0.3411764705882353,0.4539075778526839
100k,16,40,10,11,10,0.20948200835846364,16.684499502182007,0.2,0.06060606060606061,0.22400556151517553
100k,16,40,10,11,50,0.20948200835846364,16.684499502182007,0.08,0.12121212121212122,0.15143269472575652
100k,16,40,10,11,100,0.20948200835846364,16.684499502182007,0.12,0.36363636363636365,0.2864659857919795
100k,16,40,10,11,300,0.20948200835846364,16.684499502182007,0.043333333333333335,0.3939393939393939,0.3009061862387462
100k,16,40,10,11,500,0.20948200835846364,16.684499502182007,0.026,0.3939393939393939,0.3009061862387462
100k,16,40,10,11,1000,0.20948200835846364,16.684499502182007,0.013,0.3939393939393939,0.3009061862387462
100k,16,40,10,12,10,0.16236701048910618,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,12,50,0.16236701048910618,16.684499502182007,0.02,0.07692307692307693,0.034202784826153056
100k,16,40,10,12,100,0.16236701048910618,16.684499502182007,0.02,0.15384615384615385,0.06341406339313273
100k,16,40,10,12,300,0.16236701048910618,16.684499502182007,0.006666666666666667,0.15384615384615385,0.06341406339313273
100k,16,40,10,12,500,0.16236701048910618,16.684499502182007,0.004,0.15384615384615385,0.06341406339313273
100k,16,40,10,12,1000,0.16236701048910618,16.684499502182007,0.002,0.15384615384615385,0.06341406339313273
100k,16,40,10,15,10,0.2071069902740419,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,15,50,0.2071069902740419,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,15,100,0.2071069902740419,16.684499502182007,0.01,0.02631578947368421,0.015075425021925794
100k,16,40,10,15,300,0.2071069902740419,16.684499502182007,0.02,0.15789473684210525,0.07948039264479981
100k,16,40,10,15,500,0.2071069902740419,16.684499502182007,0.012,0.15789473684210525,0.07948039264479981
100k,16,40,10,15,1000,0.2071069902740419,16.684499502182007,0.006,0.15789473684210525,0.07948039264479981
100k,16,40,10,34,10,0.17780601046979427,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,34,50,0.17780601046979427,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,34,100,0.17780601046979427,16.684499502182007,0.01,0.02857142857142857,0.014804723358393715
100k,16,40,10,34,300,0.17780601046979427,16.684499502182007,0.016666666666666666,0.14285714285714285,0.07014161555428251
100k,16,40,10,34,500,0.17780601046979427,16.684499502182007,0.01,0.14285714285714285,0.07014161555428251
100k,16,40,10,34,1000,0.17780601046979427,16.684499502182007,0.005,0.14285714285714285,0.07014161555428251
100k,16,40,10,14,10,0.1967510033864528,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,14,50,0.1967510033864528,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,14,100,0.1967510033864528,16.684499502182007,0.01,0.021739130434782608,0.01378086309326738
100k,16,40,10,14,300,0.1967510033864528,16.684499502182007,0.016666666666666666,0.10869565217391304,0.05948874931933301
100k,16,40,10,14,500,0.1967510033864528,16.684499502182007,0.01,0.10869565217391304,0.05948874931933301
100k,16,40,10,14,1000,0.1967510033864528,16.684499502182007,0.005,0.10869565217391304,0.05948874931933301
100k,16,40,10,27,10,0.15699199866503477,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,27,50,0.15699199866503477,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,27,100,0.15699199866503477,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,27,300,0.15699199866503477,16.684499502182007,0.01,0.09090909090909091,0.04497310825687981
100k,16,40,10,27,500,0.15699199866503477,16.684499502182007,0.006,0.09090909090909091,0.04497310825687981
100k,16,40,10,27,1000,0.15699199866503477,16.684499502182007,0.003,0.09090909090909091,0.04497310825687981
100k,16,40,10,66,10,0.16116700135171413,16.684499502182007,0.1,0.01818181818181818,0.06625422345438903
100k,16,40,10,66,50,0.16116700135171413,16.684499502182007,0.02,0.01818181818181818,0.02333976076433925
100k,16,40,10,66,100,0.16116700135171413,16.684499502182007,0.01,0.01818181818181818,0.021866577706041675
100k,16,40,10,66,300,0.16116700135171413,16.684499502182007,0.0033333333333333335,0.01818181818181818,0.021866577706041675
100k,16,40,10,66,500,0.16116700135171413,16.684499502182007,0.002,0.01818181818181818,0.021866577706041675
100k,16,40,10,66,1000,0.16116700135171413,16.684499502182007,0.001,0.01818181818181818,0.021866577706041675
100k,16,40,10,72,10,0.15650701243430376,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,72,50,0.15650701243430376,16.684499502182007,0.02,0.02702702702702703,0.019977615861907518
100k,16,40,10,72,100,0.15650701243430376,16.684499502182007,0.02,0.05405405405405406,0.036334686724583565
100k,16,40,10,72,300,0.15650701243430376,16.684499502182007,0.01,0.08108108108108109,0.050397291905555516
100k,16,40,10,72,500,0.15650701243430376,16.684499502182007,0.006,0.08108108108108109,0.050397291905555516
100k,16,40,10,72,1000,0.15650701243430376,16.684499502182007,0.003,0.08108108108108109,0.050397291905555516
100k,16,40,10,99,10,0.1776489953044802,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,99,50,0.1776489953044802,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,99,100,0.1776489953044802,16.684499502182007,0.01,0.047619047619047616,0.02071921604106496
100k,16,40,10,99,300,0.1776489953044802,16.684499502182007,0.0033333333333333335,0.047619047619047616,0.02071921604106496
100k,16,40,10,99,500,0.1776489953044802,16.684499502182007,0.002,0.047619047619047616,0.02071921604106496
100k,16,40,10,99,1000,0.1776489953044802,16.684499502182007,0.001,0.047619047619047616,0.02071921604106496
100k,16,40,10,101,10,0.160672003403306,16.684499502182007,0.1,0.023255813953488372,0.22009176629808017
100k,16,40,10,101,50,0.160672003403306,16.684499502182007,0.08,0.09302325581395349,0.14870408949129996
100k,16,40,10,101,100,0.160672003403306,16.684499502182007,0.07,0.16279069767441862,0.19161233735961108
100k,16,40,10,101,300,0.160672003403306,16.684499502182007,0.02666666666666667,0.18604651162790697,0.20442964310962566
100k,16,40,10,101,500,0.160672003403306,16.684499502182007,0.016,0.18604651162790697,0.20442964310962566
100k,16,40,10,101,1000,0.160672003403306,16.684499502182007,0.008,0.18604651162790697,0.20442964310962566
100k,16,40,10,56,10,0.16605400014668703,16.684499502182007,0.0,0.0,0.0
100k,16,40,10,56,50,0.16605400014668703,16.684499502182007,0.04,0.0392156862745098,0.031020099346199963
100k,16,40,10,56,100,0.16605400014668703,16.684499502182007,0.04,0.0784313725490196,0.05381790186059462
