tier,M,ef_construction,ef_search,k,recall,ndcg,query_latency_ms
400k,16,40,50,500,0.34340146535311405,0.2366590274880226,0.3780845252453889
400k,16,40,50,1000,0.359793760208097,0.24373513528217278,0.3780845252453889
400k,16,40,100,10,0.04448418659953486,0.22147105242116547,0.5494168451006868
400k,16,40,100,50,0.1194916524339213,0.15265851800290767,0.5494168451006868
400k,16,40,100,100,0.16657437870723202,0.15039992497576393,0.5494168451006868
400k,16,40,100,300,0.2916011354985498,0.21439825966547002,0.5494168451006868
400k,16,40,100,500,0.3861860710800802,0.25528341376092595,0.5494168451006868
400k,16,40,100,1000,0.47764339606986633,0.29326297344507973,0.5494168451006868
400k,16,40,200,10,0.04448418659953486,0.22147105242116547,0.8133781620448357
400k,16,40,200,50,0.1216545940344981,0.1555119315890078,0.8133781620448357
400k,16,40,200,100,0.1569097303001138,0.14896003558321302,0.8133781620448357
400k,16,40,200,300,0.29525757280838205,0.2181290072025887,0.8133781620448357
400k,16,40,200,500,0.40591288789822755,0.2664431322265505,0.8133781620448357
400k,16,40,200,1000,0.5737814193033266,0.33351592110830575,0.8133781620448357
400k,16,40,500,10,0.04448418659953486,0.22147105242116547,1.442185889525143
400k,16,40,500,50,0.12372879956941019,0.15851553276539312,1.442185889525143
400k,16,40,500,100,0.15979365243421617,0.15178800133826606,1.442185889525143
400k,16,40,500,300,0.30313788480728926,0.22323086759414754,1.442185889525143
400k,16,40,500,500,0.4160039547223194,0.27382504840756444,1.442185889525143
400k,16,40,500,1000,0.6346808521006154,0.35942700683197326,1.442185889525143
400k,16,40,1000,10,0.04448418659953486,0.22147105242116547,2.324701631502984
400k,16,40,1000,50,0.1244497801029358,0.1593126146233052,2.324701631502984
400k,16,40,1000,100,0.1573248403042649,0.15070378917545516,2.324701631502984
400k,16,40,1000,300,0.3010139151274436,0.2223890504115066,2.324701631502984
400k,16,40,1000,500,0.4138385833466603,0.2728384467532352,2.324701631502984
400k,16,40,1000,1000,0.6374705726218046,0.3606894194506001,2.324701631502984
400k,32,200,10,10,0.04236042483440277,0.20439239728953879,2.29685010210807
400k,32,200,10,50,0.09170168036795842,0.1274077941191005,2.29685010210807
400k,32,200,10,100,0.13040134806640616,0.12485463131738694,2.29685010210807
400k,32,200,10,300,0.2245272373559604,0.17237692025875856,2.29685010210807
400k,32,200,10,500,0.23297818929721706,0.17623778342998997,2.29685010210807
400k,32,200,10,1000,0.23297818929721706,0.17623778342998997,2.29685010210807
400k,32,200,50,10,0.04448418659953486,0.22147105242116547,0.6713208399320904
400k,32,200,50,50,0.12155280854741213,0.15514844660348723,0.6713208399320904
400k,32,200,50,100,0.16077984750418828,0.14875358923749368,0.6713208399320904
400k,32,200,50,300,0.29236093134918806,0.2153768273654673,0.6713208399320904
400k,32,200,50,500,0.38190297940333273,0.25486568448961,0.6713208399320904
400k,32,200,50,1000,0.48680820084047083,0.2981084736331668,0.6713208399320904
400k,32,200,100,10,0.04448418659953486,0.22147105242116547,0.9190185810439289
400k,32,200,100,50,0.12300781903588459,0.15761254610529649,0.9190185810439289
400k,32,200,100,100,0.15170185707869868,0.1467815955578996,0.9190185810439289
400k,32,200,100,300,0.29983454632814116,0.22088805896124505,0.9190185810439289
400k,32,200,100,500,0.40543744491246825,0.2684732330101119,0.9190185810439289
400k,32,200,100,1000,0.5831900786891399,0.33954263058339057,0.9190185810439289
400k,32,200,200,10,0.04448418659953486,0.22147105242116547,1.3989679481662614
400k,32,200,200,50,0.12517076063646138,0.1604255743260706,1.3989679481662614
400k,32,200,200,100,0.1587668013713161,0.15208638041432931,1.3989679481662614
400k,32,200,200,300,0.3027536725018206,0.22407381009586788,1.3989679481662614
400k,32,200,200,500,0.4168418770670069,0.2746288159929618,1.3989679481662614
400k,32,200,200,1000,0.6439466108368054,0.36408810509898143,1.3989679481662614
400k,32,200,500,10,0.04448418659953486,0.22147105242116547,2.493832264965596
400k,32,200,500,50,0.12517076063646138,0.1604255743260706,2.493832264965596
400k,32,200,500,100,0.1587668013713161,0.15208158159329724,2.493832264965596
400k,32,200,500,300,0.30235448830696776,0.2237294653748219,2.493832264965596
400k,32,200,500,500,0.4160015249472371,0.2745571484145417,2.493832264965596
400k,32,200,500,1000,0.6405086452426655,0.3630096650611919,2.493832264965596
400k,32,200,1000,10,0.04448418659953486,0.22147105242116547,4.145294052585469
400k,32,200,1000,50,0.12517076063646138,0.1604255743260706,4.145294052585469
400k,32,200,1000,100,0.1587668013713161,0.15208158159329724,4.145294052585469
400k,32,200,1000,300,0.30235448830696776,0.22372391056551608,4.145294052585469
400k,32,200,1000,500,0.4160015249472371,0.27454456178060505,4.145294052585469
400k,32,200,1000,1000,0.6393483340137045,0.3619484214975411,4.145294052585469
