tier,M,ef_construction,ef_search,k,recall,ndcg,query_latency_ms
300k,16,40,50,300,0.28809131506989005,0.21305068689109138,0.36314841494650435
300k,16,40,50,500,0.3471421049204766,0.2395617035636101,0.36314841494650435
300k,16,40,50,1000,0.3601927122232456,0.24515726971776106,0.36314841494650435
300k,16,40,100,10,0.04448418659953486,0.22185298658228927,0.5062393718521649
300k,16,40,100,50,0.12030136903311159,0.1541499932958041,0.5062393718521649
300k,16,40,100,100,0.1682774970650007,0.15232421660826348,0.5062393718521649
300k,16,40,100,300,0.29793411971241107,0.21931528554051094,0.5062393718521649
300k,16,40,100,500,0.3885121804337023,0.2593432716788919,0.5062393718521649
300k,16,40,100,1000,0.4681166761654585,0.2924089140688183,0.5062393718521649
300k,16,40,200,10,0.04448418659953486,0.22185298658228927,0.7807445286552569
300k,16,40,200,50,0.12462725223426516,0.15970863513161943,0.7807445286552569
300k,16,40,200,100,0.16829458725094049,0.15505555319233577,0.7807445286552569
300k,16,40,200,300,0.30036239603141957,0.22255580502939457,0.7807445286552569
300k,16,40,200,500,0.4072525192648106,0.269447201741608,0.7807445286552569
300k,16,40,200,1000,0.5980112297043906,0.3456799936181789,0.7807445286552569
300k,16,40,500,10,0.04448418659953486,0.22185298658228927,1.3641414698213339
300k,16,40,500,50,0.12679019383484194,0.16254079641032507,1.3641414698213339
300k,16,40,500,100,0.16869021129472603,0.15633601692694324,1.3641414698213339
300k,16,40,500,300,0.3072673595886441,0.22707289600726904,1.3641414698213339
300k,16,40,500,500,0.4210118210057329,0.2780408672265622,1.3641414698213339
300k,16,40,500,1000,0.6563842984179749,0.3712315268237501,1.3641414698213339
300k,16,40,1000,10,0.04448418659953486,0.22185298658228927,2.217146944818332
300k,16,40,1000,50,0.12679019383484194,0.16251720276819198,2.217146944818332
300k,16,40,1000,100,0.16869021129472603,0.15629900198845897,2.217146944818332
300k,16,40,1000,300,0.30470071972223306,0.2258600009581304,2.217146944818332
300k,16,40,1000,500,0.421942027262713,0.27832752141536304,2.217146944818332
300k,16,40,1000,1000,0.6611443107064009,0.37312464745977697,2.217146944818332
300k,32,200,10,10,0.04305182958837116,0.21812487113974455,1.0990266822964738
300k,32,200,10,50,0.09719235505542637,0.13821613964117688,1.0990266822964738
