method,query,k,ndcg,precision,recall,overlap
Istari BM25,shipping companies,100,0.0193,0.02,0.002,0
Istari BM25,shipping companies,500,0.0408,0.044,0.022,15
Istari BM25,shipping companies,1000,0.0422,0.044,0.044,22
Istari BM25,trucking companies,10,0.2132,0.1,0.001,0
Istari BM25,trucking companies,50,0.09,0.04,0.002,0
Istari BM25,trucking companies,100,0.0557,0.02,0.002,0
Istari BM25,trucking companies,500,0.0319,0.02,0.01,4
Istari BM25,trucking companies,1000,0.0271,0.02,0.02,10
Istari BM25,freight forwarding companies,10,0.0,0.0,0.0,0
Istari BM25,freight forwarding companies,50,0.0156,0.02,0.001,0
Istari BM25,freight forwarding companies,100,0.0168,0.02,0.002,0
Istari BM25,freight forwarding companies,500,0.0338,0.038,0.019,7
Istari BM25,freight forwarding companies,1000,0.0354,0.038,0.038,19
Istari BM25,warehousing companies,10,0.0,0.0,0.0,0
Istari BM25,warehousing companies,50,0.0292,0.04,0.002,0
Istari BM25,warehousing companies,100,0.0628,0.08,0.008,2
Istari BM25,warehousing companies,500,0.0542,0.056,0.028,16
Istari BM25,warehousing companies,1000,0.0554,0.056,0.056,28
Istari BM25,cold storage companies,10,0.5669,0.5,0.005,0
Istari BM25,cold storage companies,50,0.4205,0.38,0.019,0
Istari BM25,cold storage companies,100,0.3632,0.33,0.033,2
Istari BM25,cold storage companies,500,0.316,0.3,0.15,81
Istari BM25,cold storage companies,1000,0.3118,0.3,0.3,150
Istari BM25,retail technology companies,10,0.0889,0.1,0.001,0
Istari BM25,retail technology companies,50,0.1366,0.16,0.008,0
Istari BM25,retail technology companies,100,0.1217,0.13,0.013,0
Istari BM25,retail technology companies,500,0.0806,0.076,0.038,19
Istari BM25,retail technology companies,1000,0.0794,0.076,0.076,38
Istari BM25,point of sale systems providers,10,0.315,0.4,0.004,0
Istari BM25,point of sale systems providers,50,0.2784,0.3,0.015,0
Istari BM25,point of sale systems providers,100,0.2372,0.24,0.024,2
Istari BM25,point of sale systems providers,500,0.249,0.248,0.124,74
Istari BM25,point of sale systems providers,1000,0.2508,0.248,0.248,124
Istari BM25,inventory management software,10,0.2021,0.1,0.001,0
Istari BM25,inventory management software,50,0.1205,0.08,0.004,1
Istari BM25,inventory management software,100,0.1406,0.13,0.013,3
Istari BM25,inventory management software,500,0.1172,0.11,0.055,38
Istari BM25,inventory management software,1000,0.1157,0.11,0.11,55
