method,query,k,ndcg,precision,recall,overlap
Istari BM25 + Filter,inventory management software,100,0.1406,0.13,0.013,3
Istari BM25 + Filter,inventory management software,500,0.1172,0.11,0.055,38
Istari BM25 + Filter,inventory management software,1000,0.1157,0.11,0.11,55
Istari BM25 + Filter,customer relationship management (CRM) software,10,0.0653,0.1,0.001,0
Istari BM25 + Filter,customer relationship management (CRM) software,50,0.1224,0.16,0.008,2
Istari BM25 + Filter,customer relationship management (CRM) software,100,0.1582,0.19,0.019,3
Istari BM25 + Filter,customer relationship management (CRM) software,500,0.2101,0.226,0.113,75
Istari BM25 + Filter,customer relationship management (CRM) software,1000,0.2188,0.226,0.226,113
Istari BM25 + Filter,enterprise resource planning (ERP) systems,10,0.0,0.0,0.0,0
Istari BM25 + Filter,enterprise resource planning (ERP) systems,50,0.0494,0.06,0.003,0
Istari BM25 + Filter,enterprise resource planning (ERP) systems,100,0.0676,0.08,0.008,2
Istari BM25 + Filter,enterprise resource planning (ERP) systems,500,0.0614,0.062,0.031,18
Istari BM25 + Filter,enterprise resource planning (ERP) systems,1000,0.0622,0.062,0.062,31
Istari BM25 + Filter,business intelligence (BI) companies,10,0.0643,0.1,0.001,0
Istari BM25 + Filter,business intelligence (BI) companies,50,0.1669,0.22,0.011,3
Istari BM25 + Filter,business intelligence (BI) companies,100,0.1705,0.2,0.02,5
Istari BM25 + Filter,business intelligence (BI) companies,500,0.0974,0.092,0.046,32
Istari BM25 + Filter,business intelligence (BI) companies,1000,0.0967,0.092,0.092,46
Istari BM25 + Filter,IT consulting firms,10,0.0,0.0,0.0,0
Istari BM25 + Filter,IT consulting firms,50,0.0,0.0,0.0,0
Istari BM25 + Filter,IT consulting firms,100,0.0,0.0,0.0,0
Istari BM25 + Filter,IT consulting firms,500,0.0016,0.002,0.001,1
Istari BM25 + Filter,IT consulting firms,1000,0.0018,0.002,0.002,1
Istari BM25 + Filter,cybersecurity solutions providers,10,0.0,0.0,0.0,0
Istari BM25 + Filter,cybersecurity solutions providers,50,0.0,0.0,0.0,0
Istari BM25 + Filter,cybersecurity solutions providers,100,0.0157,0.02,0.002,0
Istari BM25 + Filter,cybersecurity solutions providers,500,0.0219,0.024,0.012,5
Istari BM25 + Filter,cybersecurity solutions providers,1000,0.0229,0.024,0.024,12
Istari BM25 + Filter,cloud security providers,10,0.0,0.0,0.0,0
Istari BM25 + Filter,cloud security providers,50,0.0,0.0,0.0,0
Istari BM25 + Filter,cloud security providers,100,0.0,0.0,0.0,0
Istari BM25 + Filter,cloud security providers,500,0.0085,0.01,0.005,4
Istari BM25 + Filter,cloud security providers,1000,0.0091,0.01,0.01,5
Istari BM25 + Filter,managed service providers (MSPs),10,0.0592,0.1,0.001,0
Istari BM25 + Filter,managed service providers (MSPs),50,0.1271,0.16,0.008,2
Istari BM25 + Filter,managed service providers (MSPs),100,0.2182,0.27,0.027,3
Istari BM25 + Filter,managed service providers (MSPs),500,0.2219,0.23,0.115,73
Istari BM25 + Filter,managed service providers (MSPs),1000,0.2283,0.23,0.23,115
Istari BM25 + Filter,remote monitoring and management (RMM) software,10,0.7738,0.8,0.008,2
Istari BM25 + Filter,remote monitoring and management (RMM) software,50,0.5902,0.56,0.028,13
Istari BM25 + Filter,remote monitoring and management (RMM) software,100,0.499,0.45,0.045,29
Istari BM25 + Filter,remote monitoring and management (RMM) software,500,0.2477,0.194,0.097,81
Istari BM25 + Filter,remote monitoring and management (RMM) software,1000,0.2317,0.194,0.194,97
Istari BM25 + Filter,data center providers,10,0.0628,0.1,0.001,0
Istari BM25 + Filter,data center providers,50,0.1391,0.18,0.009,0
Istari BM25 + Filter,data center providers,100,0.1391,0.16,0.016,0
Istari BM25 + Filter,data center providers,500,0.1083,0.108,0.054,31
Istari BM25 + Filter,data center providers,1000,0.1092,0.108,0.108,54
Istari BM25 + Filter,web hosting companies,10,0.5207,0.7,0.007,0
Istari BM25 + Filter,web hosting companies,50,0.4349,0.44,0.022,0
Istari BM25 + Filter,web hosting companies,100,0.2915,0.25,0.025,0
Istari BM25 + Filter,web hosting companies,500,0.1757,0.144,0.072,23
Istari BM25 + Filter,web hosting companies,1000,0.1637,0.144,0.144,72
Istari BM25 + Filter,domain name registrars,10,0.485,0.5,0.005,0
Istari BM25 + Filter,domain name registrars,50,0.5127,0.54,0.027,0
Istari BM25 + Filter,domain name registrars,100,0.4157,0.4,0.04,5
Istari BM25 + Filter,domain name registrars,500,0.1891,0.152,0.076,53
Istari BM25 + Filter,domain name registrars,1000,0.1759,0.152,0.152,76
Istari BM25 + Filter,content management systems (CMS),10,0.2906,0.4,0.004,0
Istari BM25 + Filter,content management systems (CMS),50,0.1961,0.2,0.01,2
Istari BM25 + Filter,content management systems (CMS),100,0.1802,0.18,0.018,6
Istari BM25 + Filter,content management systems (CMS),500,0.1271,0.116,0.058,43
Istari BM25 + Filter,content management systems (CMS),1000,0.1245,0.116,0.116,58
Istari BM25 + Filter,e-learning platforms,10,0.5165,0.5,0.005,0
Istari BM25 + Filter,e-learning platforms,50,0.3034,0.26,0.013,2
Istari BM25 + Filter,e-learning platforms,100,0.2559,0.22,0.022,4
Istari BM25 + Filter,e-learning platforms,500,0.1791,0.16,0.08,45
Istari BM25 + Filter,e-learning platforms,1000,0.1726,0.16,0.16,80
Istari BM25 + Filter,online marketing agencies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,online marketing agencies,50,0.0,0.0,0.0,0
Istari BM25 + Filter,online marketing agencies,100,0.007,0.01,0.001,0
Istari BM25 + Filter,online marketing agencies,500,0.0073,0.008,0.004,4
Istari BM25 + Filter,online marketing agencies,1000,0.0077,0.008,0.008,4
Istari BM25 + Filter,lead generation companies,10,0.1026,0.1,0.001,0
Istari BM25 + Filter,lead generation companies,50,0.1848,0.22,0.011,3
Istari BM25 + Filter,lead generation companies,100,0.2464,0.29,0.029,7
Istari BM25 + Filter,lead generation companies,500,0.1889,0.188,0.094,46
Istari BM25 + Filter,lead generation companies,1000,0.1906,0.188,0.188,94
Istari BM25 + Filter,market research firms,10,0.1331,0.1,0.001,0
Istari BM25 + Filter,market research firms,50,0.1892,0.2,0.01,0
Istari BM25 + Filter,market research firms,100,0.1684,0.17,0.017,0
Istari BM25 + Filter,market research firms,500,0.1429,0.142,0.071,36
Istari BM25 + Filter,market research firms,1000,0.1429,0.142,0.142,71
Istari BM25 + Filter,public relations agencies,10,0.2333,0.2,0.002,0
Istari BM25 + Filter,public relations agencies,50,0.159,0.14,0.007,0
Istari BM25 + Filter,public relations agencies,100,0.1291,0.11,0.011,0
Istari BM25 + Filter,public relations agencies,500,0.0959,0.088,0.044,20
Istari BM25 + Filter,public relations agencies,1000,0.093,0.088,0.088,44
Istari BM25 + Filter,graphic design studios,10,0.0,0.0,0.0,0
Istari BM25 + Filter,graphic design studios,50,0.0,0.0,0.0,0
Istari BM25 + Filter,graphic design studios,100,0.0075,0.01,0.001,0
Istari BM25 + Filter,graphic design studios,500,0.0072,0.008,0.004,2
Istari BM25 + Filter,graphic design studios,1000,0.0075,0.008,0.008,4
Istari BM25 + Filter,video production companies,10,0.0,0.0,0.0,0
Istari BM25 + Filter,video production companies,50,0.0,0.0,0.0,0
Istari BM25 + Filter,video production companies,100,0.0,0.0,0.0,0
Istari BM25 + Filter,video production companies,500,0.0099,0.012,0.006,2
Istari BM25 + Filter,video production companies,1000,0.0107,0.012,0.012,6
Istari BM25 + Filter,translation services,10,0.0,0.0,0.0,0
Istari BM25 + Filter,translation services,50,0.0359,0.04,0.002,0
Istari BM25 + Filter,translation services,100,0.0595,0.07,0.007,0
Istari BM25 + Filter,translation services,500,0.0439,0.044,0.022,9
Istari BM25 + Filter,translation services,1000,0.0442,0.044,0.044,22
Istari BM25 + Filter,legal technology companies,10,0.2079,0.1,0.001,0
Istari BM25 + Filter,legal technology companies,50,0.0741,0.02,0.001,0
Istari BM25 + Filter,legal technology companies,100,0.046,0.01,0.001,0
Istari BM25 + Filter,legal technology companies,500,0.0188,0.008,0.004,1
Istari BM25 + Filter,legal technology companies,1000,0.0143,0.008,0.008,4
Istari BM25 + Filter,accounting software providers,10,0.0797,0.1,0.001,0
Istari BM25 + Filter,accounting software providers,50,0.0429,0.04,0.002,0
Istari BM25 + Filter,accounting software providers,100,0.041,0.04,0.004,0
Istari BM25 + Filter,accounting software providers,500,0.0483,0.05,0.025,13
Istari BM25 + Filter,accounting software providers,1000,0.0491,0.05,0.05,25
Istari BM25 + Filter,tax preparation services,10,0.0,0.0,0.0,0
Istari BM25 + Filter,tax preparation services,50,0.0201,0.02,0.001,0
Istari BM25 + Filter,tax preparation services,100,0.0278,0.03,0.003,0
Istari BM25 + Filter,tax preparation services,500,0.0358,0.038,0.019,7
Istari BM25 + Filter,tax preparation services,1000,0.0367,0.038,0.038,19
Istari BM25 + Filter,payroll processing companies,10,0.1324,0.2,0.002,0
Istari BM25 + Filter,payroll processing companies,50,0.2703,0.32,0.016,2
Istari BM25 + Filter,payroll processing companies,100,0.2355,0.25,0.025,3
Istari BM25 + Filter,payroll processing companies,500,0.2649,0.274,0.137,84
Istari BM25 + Filter,payroll processing companies,1000,0.2706,0.274,0.274,137
Istari BM25 + Filter,financial planning services,10,0.0,0.0,0.0,0
Istari BM25 + Filter,financial planning services,50,0.0,0.0,0.0,0
Istari BM25 + Filter,financial planning services,100,0.0,0.0,0.0,0
Istari BM25 + Filter,financial planning services,500,0.0016,0.002,0.001,1
Istari BM25 + Filter,financial planning services,1000,0.0018,0.002,0.002,1
Istari BM25 + Filter,investment management firms,10,0.0,0.0,0.0,0
Istari BM25 + Filter,investment management firms,50,0.0,0.0,0.0,0
Istari BM25 + Filter,investment management firms,100,0.0,0.0,0.0,0
Istari BM25 + Filter,investment management firms,500,0.0035,0.004,0.002,1
Istari BM25 + Filter,investment management firms,1000,0.0037,0.004,0.004,2
Istari BM25 + Filter,wealth management firms,10,0.0671,0.1,0.001,0
Istari BM25 + Filter,wealth management firms,50,0.0569,0.06,0.003,0
Istari BM25 + Filter,wealth management firms,100,0.0577,0.06,0.006,1
Istari BM25 + Filter,wealth management firms,500,0.0366,0.034,0.017,11
Istari BM25 + Filter,wealth management firms,1000,0.0358,0.034,0.034,17
Istari BM25 + Filter,commercial real estate brokers,10,0.0,0.0,0.0,0
Istari BM25 + Filter,commercial real estate brokers,50,0.0,0.0,0.0,0
Istari BM25 + Filter,commercial real estate brokers,100,0.0071,0.01,0.001,0
Istari BM25 + Filter,commercial real estate brokers,500,0.014,0.016,0.008,4
Istari BM25 + Filter,commercial real estate brokers,1000,0.0148,0.016,0.016,8
Istari BM25 + Filter,residential real estate brokers,10,0.0,0.0,0.0,0
Istari BM25 + Filter,residential real estate brokers,50,0.0,0.0,0.0,0
Istari BM25 + Filter,residential real estate brokers,100,0.0,0.0,0.0,0
Istari BM25 + Filter,residential real estate brokers,500,0.007,0.008,0.004,3
Istari BM25 + Filter,residential real estate brokers,1000,0.0074,0.008,0.008,4
Istari BM25 + Filter,construction equipment manufacturers,10,0.0,0.0,0.0,0
Istari BM25 + Filter,construction equipment manufacturers,50,0.0206,0.02,0.001,0
Istari BM25 + Filter,construction equipment manufacturers,100,0.0208,0.02,0.002,1
Istari BM25 + Filter,construction equipment manufacturers,500,0.0128,0.012,0.006,4
Istari BM25 + Filter,construction equipment manufacturers,1000,0.0125,0.012,0.012,6
Istari BM25 + Filter,building materials suppliers,10,0.0,0.0,0.0,0
Istari BM25 + Filter,building materials suppliers,50,0.0358,0.04,0.002,0
Istari BM25 + Filter,building materials suppliers,100,0.0301,0.03,0.003,0
Istari BM25 + Filter,building materials suppliers,500,0.0198,0.018,0.009,5
Istari BM25 + Filter,building materials suppliers,1000,0.0192,0.018,0.018,9
Istari BM25 + Filter,renewable energy project developers,10,0.1047,0.1,0.001,0
Istari BM25 + Filter,renewable energy project developers,50,0.2116,0.24,0.012,1
Istari BM25 + Filter,renewable energy project developers,100,0.1767,0.18,0.018,1
Istari BM25 + Filter,renewable energy project developers,500,0.1243,0.118,0.059,29
Istari BM25 + Filter,renewable energy project developers,1000,0.1227,0.118,0.118,59
Istari BM25 + Filter,sustainable agriculture companies,10,0.2663,0.2,0.002,0
Istari BM25 + Filter,sustainable agriculture companies,50,0.1555,0.12,0.006,1
Istari BM25 + Filter,sustainable agriculture companies,100,0.104,0.07,0.007,1
Istari BM25 + Filter,sustainable agriculture companies,500,0.0622,0.048,0.024,12
Istari BM25 + Filter,sustainable agriculture companies,1000,0.0567,0.048,0.048,24
Istari BM25 + Filter,vertical farming companies,10,0.5139,0.7,0.007,0
Istari BM25 + Filter,vertical farming companies,50,0.5324,0.58,0.029,4
Istari BM25 + Filter,vertical farming companies,100,0.5191,0.54,0.054,15
Istari BM25 + Filter,vertical farming companies,500,0.3828,0.36,0.18,139
Istari BM25 + Filter,vertical farming companies,1000,0.3799,0.36,0.36,180
Istari BM25 + Filter,precision agriculture technology providers,10,0.3204,0.3,0.003,0
Istari BM25 + Filter,precision agriculture technology providers,50,0.2956,0.3,0.015,3
Istari BM25 + Filter,precision agriculture technology providers,100,0.2801,0.28,0.028,6
Istari BM25 + Filter,precision agriculture technology providers,500,0.226,0.22,0.11,78
Istari BM25 + Filter,precision agriculture technology providers,1000,0.2271,0.22,0.22,110
Istari BM25 + Filter,alternative protein manufacturers,10,0.2003,0.2,0.002,0
Istari BM25 + Filter,alternative protein manufacturers,50,0.2139,0.22,0.011,3
Istari BM25 + Filter,alternative protein manufacturers,100,0.1847,0.18,0.018,4
Istari BM25 + Filter,alternative protein manufacturers,500,0.1573,0.15,0.075,56
Istari BM25 + Filter,alternative protein manufacturers,1000,0.1563,0.15,0.15,75
Our MiniLM,software companies,10,0.966,1.0,0.01,2
Our MiniLM,software companies,50,0.8591,0.86,0.043,6
Our MiniLM,software companies,100,0.8148,0.81,0.081,10
Our MiniLM,software companies,500,0.6185,0.584,0.292,164
Our MiniLM,software companies,1000,0.4993,0.458,0.458,458
Our MiniLM,healthcare providers,10,0.9522,1.0,0.01,0
Our MiniLM,healthcare providers,50,0.9145,0.94,0.047,7
Our MiniLM,healthcare providers,100,0.9114,0.93,0.093,23
Our MiniLM,healthcare providers,500,0.8561,0.852,0.426,229
Our MiniLM,healthcare providers,1000,0.7694,0.746,0.746,746
Our MiniLM,AI startups in Berlin,10,0.8279,0.8,0.008,3
Our MiniLM,AI startups in Berlin,50,0.8498,0.88,0.044,9
Our MiniLM,AI startups in Berlin,100,0.8224,0.84,0.084,25
Our MiniLM,AI startups in Berlin,500,0.6119,0.58,0.29,180
Our MiniLM,AI startups in Berlin,1000,0.5186,0.481,0.481,481
Our MiniLM,renewable energy companies in Germany,10,0.8821,0.9,0.009,0
Our MiniLM,renewable energy companies in Germany,50,0.8434,0.86,0.043,8
Our MiniLM,renewable energy companies in Germany,100,0.8727,0.9,0.09,31
Our MiniLM,renewable energy companies in Germany,500,0.8508,0.854,0.427,283
Our MiniLM,renewable energy companies in Germany,1000,0.7779,0.759,0.759,759
Our MiniLM,companies providing cloud migration services,10,0.9505,1.0,0.01,0
Our MiniLM,companies providing cloud migration services,50,0.9431,0.98,0.049,7
Our MiniLM,companies providing cloud migration services,100,0.947,0.98,0.098,23
Our MiniLM,companies providing cloud migration services,500,0.8135,0.794,0.397,249
Our MiniLM,companies providing cloud migration services,1000,0.6026,0.548,0.548,548
Our MiniLM,B2B SaaS platforms,10,0.9598,1.0,0.01,2
Our MiniLM,B2B SaaS platforms,50,0.9489,0.98,0.049,6
Our MiniLM,B2B SaaS platforms,100,0.945,0.97,0.097,20
Our MiniLM,B2B SaaS platforms,500,0.9217,0.924,0.462,283
Our MiniLM,B2B SaaS platforms,1000,0.7715,0.738,0.738,738
Our MiniLM,machine learning companies,10,0.9794,1.0,0.01,4
Our MiniLM,machine learning companies,50,0.9641,0.98,0.049,15
Our MiniLM,machine learning companies,100,0.9557,0.97,0.097,34
Our MiniLM,machine learning companies,500,0.9109,0.904,0.452,307
Our MiniLM,machine learning companies,1000,0.7461,0.706,0.706,706
Our MiniLM,IoT solution providers,10,0.9575,1.0,0.01,0
Our MiniLM,IoT solution providers,50,0.9694,1.0,0.05,7
Our MiniLM,IoT solution providers,100,0.9663,0.99,0.099,19
Our MiniLM,IoT solution providers,500,0.9469,0.95,0.475,257
Our MiniLM,IoT solution providers,1000,0.834,0.809,0.809,809
Our MiniLM,enterprise software vendors,10,0.754,0.9,0.009,0
Our MiniLM,enterprise software vendors,50,0.7719,0.84,0.042,10
Our MiniLM,enterprise software vendors,100,0.8143,0.86,0.086,41
Our MiniLM,enterprise software vendors,500,0.6513,0.63,0.315,197
Our MiniLM,enterprise software vendors,1000,0.5344,0.499,0.499,499
Our MiniLM,small consulting firms,10,0.9526,1.0,0.01,0
Our MiniLM,small consulting firms,50,0.9388,0.96,0.048,6
Our MiniLM,small consulting firms,100,0.9334,0.95,0.095,14
Our MiniLM,small consulting firms,500,0.7951,0.776,0.388,201
Our MiniLM,small consulting firms,1000,0.6605,0.623,0.623,623
Our MiniLM,tech companies in Munich,10,0.7096,0.8,0.008,0
Our MiniLM,tech companies in Munich,50,0.8027,0.86,0.043,7
Our MiniLM,tech companies in Munich,100,0.8655,0.93,0.093,18
Our MiniLM,tech companies in Munich,500,0.8178,0.822,0.411,239
Our MiniLM,tech companies in Munich,1000,0.7002,0.674,0.674,674
Our MiniLM,manufacturing in Baden-Württemberg,10,0.9021,1.0,0.01,0
Our MiniLM,manufacturing in Baden-Württemberg,50,0.9377,1.0,0.05,5
Our MiniLM,manufacturing in Baden-Württemberg,100,0.9529,1.0,0.1,17
Our MiniLM,manufacturing in Baden-Württemberg,500,0.8914,0.89,0.445,253
Our MiniLM,manufacturing in Baden-Württemberg,1000,0.7486,0.714,0.714,714
Our MiniLM,e-commerce platforms,10,0.9715,1.0,0.01,0
Our MiniLM,e-commerce platforms,50,0.9786,1.0,0.05,0
Our MiniLM,e-commerce platforms,100,0.9579,0.97,0.097,2
Our MiniLM,e-commerce platforms,500,0.9775,0.988,0.494,115
Our MiniLM,e-commerce platforms,1000,0.8315,0.805,0.805,805
Our MiniLM,pharmaceutical companies,10,0.9649,1.0,0.01,1
Our MiniLM,pharmaceutical companies,50,0.9732,1.0,0.05,6
Our MiniLM,pharmaceutical companies,100,0.9783,1.0,0.1,15
Our MiniLM,pharmaceutical companies,500,0.968,0.972,0.486,263
Our MiniLM,pharmaceutical companies,1000,0.896,0.88,0.88,880
Our MiniLM,logistics companies in the US,10,0.8821,0.9,0.009,0
Our MiniLM,logistics companies in the US,50,0.7748,0.76,0.038,5
Our MiniLM,logistics companies in the US,100,0.7671,0.76,0.076,14
Our MiniLM,logistics companies in the US,500,0.6196,0.596,0.298,183
Our MiniLM,logistics companies in the US,1000,0.5264,0.495,0.495,495
Our MiniLM,data analytics companies,10,0.9644,1.0,0.01,0
Our MiniLM,data analytics companies,50,0.9299,0.96,0.048,3
Our MiniLM,data analytics companies,100,0.9266,0.95,0.095,11
Our MiniLM,data analytics companies,500,0.8531,0.844,0.422,236
Our MiniLM,data analytics companies,1000,0.7538,0.726,0.726,726
Our MiniLM,cybersecurity firms,10,0.8096,0.8,0.008,0
Our MiniLM,cybersecurity firms,50,0.7344,0.72,0.036,3
Our MiniLM,cybersecurity firms,100,0.7921,0.81,0.081,12
Our MiniLM,cybersecurity firms,500,0.7921,0.798,0.399,224
Our MiniLM,cybersecurity firms,1000,0.7114,0.696,0.696,696
Our MiniLM,financial services companies,10,0.8926,0.9,0.009,0
Our MiniLM,financial services companies,50,0.8335,0.84,0.042,2
Our MiniLM,financial services companies,100,0.8083,0.81,0.081,15
Our MiniLM,financial services companies,500,0.6488,0.624,0.312,172
Our MiniLM,financial services companies,1000,0.5481,0.514,0.514,514
Our MiniLM,retail chains in Europe,10,0.9605,1.0,0.01,2
Our MiniLM,retail chains in Europe,50,0.9626,1.0,0.05,9
Our MiniLM,retail chains in Europe,100,0.9628,0.99,0.099,17
Our MiniLM,retail chains in Europe,500,0.8987,0.894,0.447,274
Our MiniLM,retail chains in Europe,1000,0.758,0.724,0.724,724
Our MiniLM,construction companies,10,0.9702,1.0,0.01,0
Our MiniLM,construction companies,50,0.9781,1.0,0.05,0
Our MiniLM,construction companies,100,0.9744,0.99,0.099,8
Our MiniLM,construction companies,500,0.9144,0.908,0.454,238
Our MiniLM,construction companies,1000,0.7704,0.738,0.738,738
Our MiniLM,marketing agencies,10,0.8922,0.9,0.009,0
Our MiniLM,marketing agencies,50,0.8216,0.82,0.041,2
Our MiniLM,marketing agencies,100,0.7279,0.7,0.07,13
Our MiniLM,marketing agencies,500,0.6964,0.686,0.343,173
Our MiniLM,marketing agencies,1000,0.5933,0.566,0.566,566
Our MiniLM,human resources software,10,0.9599,1.0,0.01,0
Our MiniLM,human resources software,50,0.9735,1.0,0.05,8
Our MiniLM,human resources software,100,0.977,1.0,0.1,24
Our MiniLM,human resources software,500,0.9823,0.99,0.495,308
Our MiniLM,human resources software,1000,0.9215,0.909,0.909,909
Our MiniLM,supply chain management companies,10,0.9642,1.0,0.01,1
Our MiniLM,supply chain management companies,50,0.9683,1.0,0.05,3
Our MiniLM,supply chain management companies,100,0.9736,1.0,0.1,11
Our MiniLM,supply chain management companies,500,0.9268,0.926,0.463,274
Our MiniLM,supply chain management companies,1000,0.787,0.755,0.755,755
Our MiniLM,solar panel manufacturers,10,0.9445,1.0,0.01,0
Our MiniLM,solar panel manufacturers,50,0.9643,1.0,0.05,5
Our MiniLM,solar panel manufacturers,100,0.9635,0.99,0.099,19
Our MiniLM,solar panel manufacturers,500,0.9574,0.962,0.481,278
Our MiniLM,solar panel manufacturers,1000,0.8913,0.877,0.877,877
Our MiniLM,agricultural technology companies,10,0.9019,0.9,0.009,2
Our MiniLM,agricultural technology companies,50,0.7598,0.74,0.037,4
Our MiniLM,agricultural technology companies,100,0.6942,0.67,0.067,18
Our MiniLM,agricultural technology companies,500,0.541,0.514,0.257,152
Our MiniLM,agricultural technology companies,1000,0.4862,0.46,0.46,460
Our MiniLM,electric vehicle manufacturers,10,0.9652,1.0,0.01,1
Our MiniLM,electric vehicle manufacturers,50,0.9713,1.0,0.05,5
Our MiniLM,electric vehicle manufacturers,100,0.973,1.0,0.1,19
Our MiniLM,electric vehicle manufacturers,500,0.9807,0.99,0.495,295
Our MiniLM,electric vehicle manufacturers,1000,0.9288,0.918,0.918,918
Our MiniLM,biotech companies,10,0.9626,1.0,0.01,1
Our MiniLM,biotech companies,50,0.9497,0.98,0.049,5
Our MiniLM,biotech companies,100,0.9478,0.97,0.097,23
Our MiniLM,biotech companies,500,0.9058,0.902,0.451,273
Our MiniLM,biotech companies,1000,0.7732,0.742,0.742,742
Our MiniLM,digital transformation consultants,10,0.9656,1.0,0.01,1
Our MiniLM,digital transformation consultants,50,0.9702,1.0,0.05,4
Our MiniLM,digital transformation consultants,100,0.9613,0.98,0.098,12
Our MiniLM,digital transformation consultants,500,0.9609,0.968,0.484,251
Our MiniLM,digital transformation consultants,1000,0.874,0.856,0.856,856
Our MiniLM,cloud computing providers,10,0.9073,0.9,0.009,0
Our MiniLM,cloud computing providers,50,0.7847,0.76,0.038,7
Our MiniLM,cloud computing providers,100,0.7791,0.77,0.077,15
Our MiniLM,cloud computing providers,500,0.8317,0.84,0.42,241
Our MiniLM,cloud computing providers,1000,0.8211,0.82,0.82,820
Our MiniLM,mobile app development companies,10,0.959,1.0,0.01,0
Our MiniLM,mobile app development companies,50,0.9681,1.0,0.05,4
Our MiniLM,mobile app development companies,100,0.9737,1.0,0.1,17
Our MiniLM,mobile app development companies,500,0.9789,0.988,0.494,276
Our MiniLM,mobile app development companies,1000,0.9143,0.901,0.901,901
Our MiniLM,web design agencies,10,0.966,1.0,0.01,0
Our MiniLM,web design agencies,50,0.9155,0.92,0.046,6
Our MiniLM,web design agencies,100,0.8972,0.9,0.09,10
Our MiniLM,web design agencies,500,0.8382,0.828,0.414,194
Our MiniLM,web design agencies,1000,0.7214,0.691,0.691,691
Our MiniLM,SEO companies,10,0.9679,1.0,0.01,0
Our MiniLM,SEO companies,50,0.9774,1.0,0.05,6
Our MiniLM,SEO companies,100,0.9729,0.99,0.099,16
Our MiniLM,SEO companies,500,0.9701,0.974,0.487,263
Our MiniLM,SEO companies,1000,0.8817,0.863,0.863,863
Our MiniLM,social media marketing agencies,10,0.9488,1.0,0.01,0
Our MiniLM,social media marketing agencies,50,0.9636,1.0,0.05,3
Our MiniLM,social media marketing agencies,100,0.9568,0.98,0.098,21
Our MiniLM,social media marketing agencies,500,0.7876,0.76,0.38,239
Our MiniLM,social media marketing agencies,1000,0.6081,0.557,0.557,557
Our MiniLM,venture capital firms,10,0.9663,1.0,0.01,1
Our MiniLM,venture capital firms,50,0.9656,1.0,0.05,3
Our MiniLM,venture capital firms,100,0.9711,1.0,0.1,19
Our MiniLM,venture capital firms,500,0.8934,0.888,0.444,241
Our MiniLM,venture capital firms,1000,0.8021,0.777,0.777,777
Our MiniLM,private equity firms,10,0.9567,1.0,0.01,0
Our MiniLM,private equity firms,50,0.9451,0.98,0.049,1
Our MiniLM,private equity firms,100,0.9587,0.99,0.099,14
Our MiniLM,private equity firms,500,0.9504,0.958,0.479,262
Our MiniLM,private equity firms,1000,0.8581,0.839,0.839,839
Our MiniLM,investment banks,10,0.9609,1.0,0.01,0
Our MiniLM,investment banks,50,0.9346,0.96,0.048,0
Our MiniLM,investment banks,100,0.9006,0.91,0.091,17
Our MiniLM,investment banks,500,0.7033,0.678,0.339,223
Our MiniLM,investment banks,1000,0.589,0.55,0.55,550
Our MiniLM,insurance companies,10,0.9794,1.0,0.01,0
Our MiniLM,insurance companies,50,0.9846,1.0,0.05,4
Our MiniLM,insurance companies,100,0.9872,1.0,0.1,13
Our MiniLM,insurance companies,500,0.988,0.992,0.496,251
Our MiniLM,insurance companies,1000,0.9379,0.928,0.928,928
Our MiniLM,real estate developers,10,0.8956,0.9,0.009,1
Our MiniLM,real estate developers,50,0.8035,0.8,0.04,4
Our MiniLM,real estate developers,100,0.7596,0.75,0.075,12
Our MiniLM,real estate developers,500,0.5521,0.518,0.259,143
Our MiniLM,real estate developers,1000,0.4639,0.429,0.429,429
Our MiniLM,property management companies,10,0.9619,1.0,0.01,0
Our MiniLM,property management companies,50,0.9688,1.0,0.05,7
Our MiniLM,property management companies,100,0.9739,1.0,0.1,17
Our MiniLM,property management companies,500,0.959,0.964,0.482,245
Our MiniLM,property management companies,1000,0.8225,0.794,0.794,794
Our MiniLM,hospital management companies,10,0.9524,1.0,0.01,0
Our MiniLM,hospital management companies,50,0.9358,0.96,0.048,15
Our MiniLM,hospital management companies,100,0.9542,0.98,0.098,37
Our MiniLM,hospital management companies,500,0.8226,0.804,0.402,234
Our MiniLM,hospital management companies,1000,0.6569,0.611,0.611,611
Our MiniLM,medical device manufacturers,10,0.9729,1.0,0.01,2
Our MiniLM,medical device manufacturers,50,0.9772,1.0,0.05,13
Our MiniLM,medical device manufacturers,100,0.9775,1.0,0.1,20
Our MiniLM,medical device manufacturers,500,0.9895,1.0,0.5,288
Our MiniLM,medical device manufacturers,1000,0.926,0.913,0.913,913
Our MiniLM,telecommunications companies,10,0.9563,1.0,0.01,0
Our MiniLM,telecommunications companies,50,0.9523,0.98,0.049,5
Our MiniLM,telecommunications companies,100,0.9461,0.97,0.097,10
Our MiniLM,telecommunications companies,500,0.8569,0.846,0.423,203
Our MiniLM,telecommunications companies,1000,0.7764,0.752,0.752,752
Our MiniLM,internet service providers,10,0.9601,1.0,0.01,0
Our MiniLM,internet service providers,50,0.9505,0.98,0.049,3
Our MiniLM,internet service providers,100,0.9545,0.98,0.098,14
Our MiniLM,internet service providers,500,0.9212,0.92,0.46,279
Our MiniLM,internet service providers,1000,0.7882,0.758,0.758,758
