query_id,k,precision,recall,f1,ndcg
58,10,0.8,0.008,0.015841584158415842,0.8236998933965709
58,50,0.9,0.045,0.08571428571428572,0.8856837233256305
58,100,0.82,0.082,0.14909090909090908,0.8289138203676665
58,300,0.7233333333333334,0.217,0.33384615384615385,0.7439360424227835
58,500,0.68,0.34,0.4533333333333334,0.7015869577329247
58,1000,0.59,0.59,0.59,0.6166229624753774
59,10,1.0,0.01,0.019801980198019802,1.0
59,50,1.0,0.05,0.09523809523809523,1.0
59,100,0.99,0.099,0.18,0.992181659646492
59,300,0.9866666666666667,0.296,0.4553846153846154,0.9882790761633535
59,500,0.974,0.487,0.6493333333333333,0.9775150775225149
59,1000,0.909,0.909,0.909,0.9218821226252595
60,10,1.0,0.01,0.019801980198019802,1.0
60,50,0.98,0.049,0.09333333333333334,0.9841991571851231
60,100,0.99,0.099,0.18,0.9902670495030884
60,300,0.98,0.294,0.4523076923076923,0.9819246487977823
60,500,0.966,0.483,0.644,0.9698654604666738
60,1000,0.884,0.884,0.884,0.8993947122368463
61,10,1.0,0.01,0.019801980198019802,1.0
61,50,0.98,0.049,0.09333333333333334,0.9857983371847121
61,100,0.97,0.097,0.1763636363636364,0.9753370469613484
61,300,0.9333333333333333,0.28,0.4307692307692308,0.9417163602093456
61,500,0.854,0.427,0.5693333333333334,0.8742667981286748
61,1000,0.603,0.603,0.603,0.6535117418332892
62,10,1.0,0.01,0.019801980198019802,1.0
62,50,1.0,0.05,0.09523809523809523,1.0
62,100,1.0,0.1,0.18181818181818182,1.0
62,300,1.0,0.3,0.4615384615384615,1.0
62,500,1.0,0.5,0.6666666666666666,1.0
62,1000,0.957,0.957,0.957,0.9645270401222964
63,10,1.0,0.01,0.019801980198019802,1.0
63,50,0.98,0.049,0.09333333333333334,0.9817480390694907
63,100,0.99,0.099,0.18,0.9887572179351752
63,300,0.9233333333333333,0.277,0.4261538461538461,0.9346978077674025
63,500,0.912,0.456,0.608,0.9219741186983921
63,1000,0.742,0.742,0.7419999999999999,0.7748895171849272
64,10,1.0,0.01,0.019801980198019802,1.0
64,50,1.0,0.05,0.09523809523809523,1.0
64,100,1.0,0.1,0.18181818181818182,1.0
64,300,0.9866666666666667,0.296,0.4553846153846154,0.9887462670494276
64,500,0.958,0.479,0.6386666666666667,0.964508700356027
64,1000,0.882,0.882,0.882,0.8984708835229941
65,10,1.0,0.01,0.019801980198019802,1.0
65,50,1.0,0.05,0.09523809523809523,1.0
65,100,0.99,0.099,0.18,0.992587468244663
65,300,0.9366666666666666,0.281,0.43230769230769234,0.9474347901180665
65,500,0.886,0.443,0.5906666666666667,0.9018836169764093
65,1000,0.719,0.719,0.7190000000000001,0.7536827110134612
66,10,1.0,0.01,0.019801980198019802,1.0
66,50,1.0,0.05,0.09523809523809523,1.0
66,100,1.0,0.1,0.18181818181818182,1.0
66,300,0.9933333333333333,0.298,0.4584615384615384,0.9946437623285292
66,500,0.992,0.496,0.6613333333333333,0.9931268213852943
66,1000,0.9,0.9,0.9,0.9154944336863269
67,10,0.9,0.009,0.01782178217821782,0.9266360779006401
67,50,0.96,0.048,0.09142857142857141,0.9593816403340215
67,100,0.9,0.09,0.16363636363636364,0.9131855556674884
67,300,0.7766666666666666,0.233,0.35846153846153844,0.8064787610053978
67,500,0.73,0.365,0.48666666666666664,0.7591479769963426
67,1000,0.675,0.675,0.675,0.7001410909889577
68,10,1.0,0.01,0.019801980198019802,1.0
68,50,1.0,0.05,0.09523809523809523,1.0
68,100,1.0,0.1,0.18181818181818182,1.0
68,300,0.9833333333333333,0.295,0.4538461538461538,0.9867295991458215
68,500,0.972,0.486,0.648,0.9763697863915111
68,1000,0.819,0.819,0.819,0.845896352258898
69,10,0.9,0.009,0.01782178217821782,0.914856882358379
69,50,0.92,0.046,0.08761904761904762,0.917253925255799
69,100,0.93,0.093,0.16909090909090907,0.9262777900430793
69,300,0.91,0.273,0.42000000000000004,0.911696909531248
69,500,0.872,0.436,0.5813333333333333,0.8794293486892564
69,1000,0.734,0.734,0.734,0.75909713000607
70,10,0.9,0.009,0.01782178217821782,0.8899541168509599
70,50,0.8,0.04,0.07619047619047618,0.8112404923513207
70,100,0.78,0.078,0.14181818181818184,0.7913314485604854
70,300,0.64,0.192,0.29538461538461536,0.672391302664479
70,500,0.56,0.28,0.37333333333333335,0.5957567339546935
70,1000,0.512,0.512,0.512,0.5402940758142967
71,10,1.0,0.01,0.019801980198019802,1.0
71,50,0.94,0.047,0.08952380952380952,0.9483078241629807
71,100,0.85,0.085,0.15454545454545457,0.8784970187547277
71,300,0.6633333333333333,0.199,0.3061538461538461,0.7068851225931504
71,500,0.656,0.328,0.4373333333333334,0.6858938481718051
71,1000,0.595,0.595,0.595,0.6227504076522156
72,10,1.0,0.01,0.019801980198019802,1.0
72,50,0.98,0.049,0.09333333333333334,0.9856215795673515
72,100,0.92,0.092,0.1672727272727273,0.936812158397548
72,300,0.9733333333333334,0.292,0.44923076923076916,0.9720746897534427
72,500,0.958,0.479,0.6386666666666667,0.960183221997361
72,1000,0.853,0.853,0.853,0.8719239744338291
73,10,1.0,0.01,0.019801980198019802,1.0
73,50,0.98,0.049,0.09333333333333334,0.9850030692922281
73,100,0.97,0.097,0.1763636363636364,0.9756498587131953
73,300,0.9566666666666667,0.287,0.4415384615384615,0.961474758214366
73,500,0.9,0.45,0.6,0.9136460165971845
73,1000,0.663,0.663,0.663,0.7062054509570471
74,10,1.0,0.01,0.019801980198019802,1.0
74,50,1.0,0.05,0.09523809523809523,1.0
74,100,1.0,0.1,0.18181818181818182,1.0
74,300,0.9966666666666667,0.299,0.45999999999999996,0.9973885090774849
74,500,0.99,0.495,0.66,0.9915832848554288
74,1000,0.88,0.88,0.88,0.8989046022298375
