method,query,k,ndcg,precision,recall,f1,overlap
Istari v1 BM25,manufacturing automation companies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,manufacturing automation companies,30,0.0248,0.0333,0.001,0.0019,0
Istari v1 BM25,manufacturing automation companies,50,0.0177,0.02,0.001,0.0019,0
Istari v1 BM25,manufacturing automation companies,100,0.0252,0.03,0.003,0.0055,0
Istari v1 BM25,manufacturing automation companies,200,0.023,0.025,0.005,0.0083,2
Istari v1 BM25,manufacturing automation companies,500,0.0449,0.05,0.025,0.0333,18
Istari v1 BM25,manufacturing automation companies,816,0.0437,0.0466,0.038,0.0419,24
Istari v1 BM25,robotics companies,10,0.186,0.1,0.0068,0.0127,0
Istari v1 BM25,robotics companies,30,0.1613,0.0667,0.0136,0.0226,0
Istari v1 BM25,robotics companies,50,0.1561,0.04,0.0136,0.0203,1
Istari v1 BM25,robotics companies,100,0.1868,0.03,0.0204,0.0243,3
Istari v1 BM25,robotics companies,200,0.1689,0.02,0.0272,0.0231,9
Istari v1 BM25,robotics companies,500,0.1427,0.022,0.0748,0.034,38
Istari v1 BM25,robotics companies,816,0.1473,0.0221,0.1224,0.0374,56
Istari v1 BM25,3D printing companies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,3D printing companies,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,3D printing companies,50,0.0,0.0,0.0,0.0,0
Istari v1 BM25,3D printing companies,100,0.0,0.0,0.0,0.0,0
Istari v1 BM25,3D printing companies,200,0.0118,0.015,0.003,0.005,1
Istari v1 BM25,3D printing companies,500,0.0108,0.012,0.006,0.008,4
Istari v1 BM25,3D printing companies,816,0.0104,0.011,0.009,0.0099,5
Istari v1 BM25,packaging companies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,packaging companies,30,0.0,0.0,0.0,0.0,0
Istari v1 BM25,packaging companies,50,0.0144,0.02,0.001,0.0019,0
Istari v1 BM25,packaging companies,100,0.0089,0.01,0.001,0.0018,0
Istari v1 BM25,packaging companies,200,0.0173,0.02,0.004,0.0067,0
Istari v1 BM25,packaging companies,500,0.0217,0.024,0.012,0.016,4
Istari v1 BM25,packaging companies,816,0.0208,0.0221,0.018,0.0198,8
Istari v1 BM25,food processing companies,10,0.1471,0.2,0.002,0.004,0
Istari v1 BM25,food processing companies,30,0.1258,0.1333,0.004,0.0078,1
Istari v1 BM25,food processing companies,50,0.1163,0.12,0.006,0.0114,1
Istari v1 BM25,food processing companies,100,0.0949,0.09,0.009,0.0164,3
Istari v1 BM25,food processing companies,200,0.0926,0.09,0.018,0.03,8
Istari v1 BM25,food processing companies,500,0.0905,0.088,0.044,0.0587,29
Istari v1 BM25,food processing companies,816,0.0936,0.0919,0.075,0.0826,37
Istari v1 BM25,beverage companies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,beverage companies,30,0.0252,0.0333,0.0034,0.0062,0
Istari v1 BM25,beverage companies,50,0.059,0.02,0.0034,0.0058,0
Istari v1 BM25,beverage companies,100,0.0729,0.02,0.0068,0.0101,1
Istari v1 BM25,beverage companies,200,0.0756,0.04,0.0271,0.0323,7
Istari v1 BM25,beverage companies,500,0.0579,0.024,0.0407,0.0302,20
Istari v1 BM25,beverage companies,816,0.0621,0.0245,0.0678,0.036,22
Istari v1 BM25,mining companies,10,0.0658,0.0,0.0,0.0,0
Istari v1 BM25,mining companies,30,0.101,0.0,0.0,0.0,0
Istari v1 BM25,mining companies,50,0.0857,0.0,0.0,0.0,0
Istari v1 BM25,mining companies,100,0.0895,0.02,0.0256,0.0225,2
Istari v1 BM25,mining companies,200,0.0862,0.01,0.0256,0.0144,4
Istari v1 BM25,mining companies,500,0.0731,0.01,0.0641,0.0173,21
Istari v1 BM25,mining companies,816,0.0764,0.0086,0.0897,0.0157,34
Istari v1 BM25,oil and gas companies,10,0.0,0.0,0.0,0.0,0
Istari v1 BM25,oil and gas companies,30,0.0962,0.0667,0.003,0.0057,1
Istari v1 BM25,oil and gas companies,50,0.1106,0.08,0.006,0.0111,1
