method,query,k,ndcg,precision,recall,f1
Our MiniLM (98K),renewable energy companies in Germany,10,0.8821,0.8,0.0116,0.023
Our MiniLM (98K),renewable energy companies in Germany,50,0.8434,0.78,0.0568,0.1058
Our MiniLM (98K),renewable energy companies in Germany,100,0.8727,0.81,0.1179,0.2058
Our MiniLM (98K),companies providing cloud migration services,10,0.9505,0.9,0.0282,0.0547
Our MiniLM (98K),companies providing cloud migration services,50,0.9431,0.66,0.1034,0.1789
Our MiniLM (98K),companies providing cloud migration services,100,0.947,0.54,0.1693,0.2578
Our MiniLM (98K),B2B SaaS platforms,10,0.9598,0.7,0.0237,0.0459
Our MiniLM (98K),B2B SaaS platforms,50,0.9489,0.68,0.1153,0.1971
Our MiniLM (98K),B2B SaaS platforms,100,0.945,0.57,0.1932,0.2886
Our MiniLM (98K),machine learning companies,10,0.9794,0.2,0.4,0.2667
Our MiniLM (98K),machine learning companies,50,0.9641,0.06,0.6,0.1091
Our MiniLM (98K),machine learning companies,100,0.9557,0.03,0.6,0.0571
Our MiniLM (98K),IoT solution providers,10,0.9575,1.0,0.01,0.0198
Our MiniLM (98K),IoT solution providers,50,0.9694,1.0,0.05,0.0952
Our MiniLM (98K),IoT solution providers,100,0.9663,0.99,0.099,0.18
Our MiniLM (98K),enterprise software vendors,10,0.754,0.9,0.009,0.0178
Our MiniLM (98K),enterprise software vendors,50,0.7719,0.84,0.042,0.08
Our MiniLM (98K),enterprise software vendors,100,0.8143,0.86,0.086,0.1564
Our MiniLM (98K),small consulting firms,10,0.9526,0.1,0.0238,0.0385
Our MiniLM (98K),small consulting firms,50,0.9388,0.08,0.0952,0.087
Our MiniLM (98K),small consulting firms,100,0.9334,0.06,0.1429,0.0845
Our MiniLM (98K),tech companies in Munich,10,0.7096,0.0,0.0,0.0
Our MiniLM (98K),tech companies in Munich,50,0.8027,0.12,0.15,0.1333
Our MiniLM (98K),tech companies in Munich,100,0.8655,0.1,0.25,0.1429
Our MiniLM (98K),manufacturing in Baden-Württemberg,10,0.9021,0.0,0.0,0.0
Our MiniLM (98K),manufacturing in Baden-Württemberg,50,0.9377,0.1,0.0909,0.0952
Our MiniLM (98K),manufacturing in Baden-Württemberg,100,0.9529,0.12,0.2182,0.1548
Our MiniLM (98K),e-commerce platforms,10,0.9715,1.0,0.01,0.0198
Our MiniLM (98K),e-commerce platforms,50,0.9786,1.0,0.05,0.0952
Our MiniLM (98K),e-commerce platforms,100,0.9579,0.97,0.097,0.1764
Our MiniLM (98K),pharmaceutical companies,10,0.9649,1.0,0.01,0.0198
Our MiniLM (98K),pharmaceutical companies,50,0.9732,1.0,0.05,0.0952
Our MiniLM (98K),pharmaceutical companies,100,0.9783,1.0,0.1,0.1818
Our MiniLM (98K),logistics companies in the US,10,0.8821,0.8,0.0118,0.0232
Our MiniLM (98K),logistics companies in the US,50,0.7748,0.64,0.0471,0.0878
Our MiniLM (98K),logistics companies in the US,100,0.7671,0.6,0.0884,0.154
