query_id,query,corpus_before,corpus_after,reduction_pct,fallback_used,filter_ms,bge_ms,rerank_ms,total_ms,filter_country,filter_city,filter_nace,filter_keywords
71,cloud security providers,98716,9699,90.2,False,1.5,49.8,258.0,309.4,,,K,"['cloud', 'security', 'cloud security']"
72,managed service providers (MSPs),98716,2945,97.0,False,0.3,24.2,283.0,307.6,,,,['managed']
73,remote monitoring and management (RMM) software,98716,17976,81.8,False,3.5,93.6,253.9,351.0,,,K,"['remote', 'monitoring', 'management', 'software', 'remote monitoring']"
74,data center providers,98716,8181,91.7,False,1.5,45.9,255.0,302.4,,,K,"['data', 'center', 'data center']"
75,web hosting companies,98716,10027,89.8,False,0.9,55.4,162.3,218.6,,,,"['web', 'hosting', 'web hosting']"
76,domain name registrars,98716,1991,98.0,False,0.2,24.0,229.7,253.9,,,,"['domain', 'name', 'registrars', 'domain name']"
77,content management systems (CMS),98716,41512,57.9,False,2.4,198.2,248.8,449.4,,,,"['content', 'management', 'systems', 'content management', 'management systems']"
78,e-learning platforms,98716,1278,98.7,False,0.3,22.1,255.8,278.2,,,,"['e-learning', 'platforms', 'e-learning platforms']"
79,online marketing agencies,98716,15923,83.9,False,1.6,88.9,245.9,336.4,,,,"['online', 'marketing', 'agencies', 'online marketing', 'marketing agencies']"
80,lead generation companies,98716,2773,97.2,False,0.5,26.5,239.1,266.2,,,,"['lead', 'generation', 'lead generation']"
81,market research firms,98716,98716,0.0,True,1.9,441.5,236.9,680.4,,market,,"['market', 'research', 'market research']"
82,public relations agencies,98716,2980,97.0,False,1.8,27.4,237.2,266.4,,,,"['public', 'relations', 'agencies', 'public relations']"
83,graphic design studios,98716,8877,91.0,False,1.1,46.6,238.4,286.0,,,,"['graphic', 'design', 'studios', 'graphic design', 'design studios']"
84,video production companies,98716,1441,98.5,False,0.8,22.5,294.6,317.9,,,C,"['video', 'production', 'video production']"
85,translation services,98716,1044,98.9,False,0.1,18.0,266.1,284.1,,,,['translation']
86,legal technology companies,98716,98716,0.0,True,2.3,432.8,233.8,669.0,,,M,"['legal', 'technology', 'legal technology']"
87,accounting software providers,98716,98716,0.0,True,3.5,432.6,246.2,682.2,,,M,"['accounting', 'software', 'accounting software']"
88,tax preparation services,98716,3008,97.0,False,1.6,24.2,228.5,254.3,,,,"['tax', 'preparation', 'tax preparation']"
89,payroll processing companies,98716,5359,94.6,False,0.7,31.0,251.3,283.0,,,,"['payroll', 'processing', 'payroll processing']"
90,financial planning services,98716,11616,88.2,False,1.1,57.5,213.3,271.9,,,,"['financial', 'planning', 'financial planning']"
91,investment management firms,98716,37339,62.2,False,2.3,178.8,258.9,440.0,,,,"['investment', 'management', 'investment management']"
92,wealth management firms,98716,34114,65.4,False,2.7,163.7,264.5,430.9,,,,"['wealth', 'management', 'wealth management']"
93,commercial real estate brokers,98716,9857,90.0,False,1.6,51.6,289.7,342.9,,,,"['commercial', 'real', 'estate', 'brokers', 'real estate']"
94,residential real estate brokers,98716,9042,90.8,False,1.1,51.6,260.3,313.1,,,,"['residential', 'real', 'estate', 'brokers', 'real estate']"
95,construction equipment manufacturers,98716,1541,98.4,False,1.0,19.5,263.5,284.0,,,F,"['construction', 'equipment', 'manufacturers', 'construction equipment', 'equipment manufacturers']"
96,building materials suppliers,98716,972,99.0,False,0.5,17.6,264.9,283.0,,,F,"['building', 'materials', 'suppliers', 'building materials']"
97,renewable energy project developers,98716,991,99.0,False,0.7,17.8,258.8,277.3,,,D,"['renewable', 'energy', 'project', 'developers', 'renewable energy', 'energy project', 'project developers']"
98,sustainable agriculture companies,98716,1391,98.6,False,0.5,18.6,265.8,284.8,,,A,"['sustainable', 'agriculture', 'sustainable agriculture']"
99,vertical farming companies,98716,1229,98.8,False,0.3,18.8,264.4,283.5,,,A,"['vertical', 'farming', 'vertical farming']"
